,pw,x1,x2
0,1,france,blue
1,1,belgium,blue
2,1,luxembourg,blue
3,1,germany,blue
4,1,netherlands,blue
5,1,denmark,blue
6,2,france,green
7,2,belgium,blue
8,2,luxembourg,blue
9,2,germany,blue
10,2,netherlands,blue
11,2,denmark,blue
12,3,france,red
13,3,belgium,blue
14,3,luxembourg,blue
15,3,germany,blue
16,3,netherlands,blue
17,3,denmark,blue
18,4,france,blue
19,4,belgium,green
20,4,luxembourg,blue
21,4,germany,blue
22,4,netherlands,blue
23,4,denmark,blue
24,5,france,green
25,5,belgium,green
26,5,luxembourg,blue
27,5,germany,blue
28,5,netherlands,blue
29,5,denmark,blue
30,6,france,red
31,6,belgium,green
32,6,luxembourg,blue
33,6,germany,blue
34,6,netherlands,blue
35,6,denmark,blue
36,7,france,blue
37,7,belgium,red
38,7,luxembourg,blue
39,7,germany,blue
40,7,netherlands,blue
41,7,denmark,blue
42,8,france,green
43,8,belgium,red
44,8,luxembourg,blue
45,8,germany,blue
46,8,netherlands,blue
47,8,denmark,blue
48,9,france,red
49,9,belgium,red
50,9,luxembourg,blue
51,9,germany,blue
52,9,netherlands,blue
53,9,denmark,blue
54,10,france,blue
55,10,belgium,blue
56,10,luxembourg,green
57,10,germany,blue
58,10,netherlands,blue
59,10,denmark,blue
60,11,france,green
61,11,belgium,blue
62,11,luxembourg,green
63,11,germany,blue
64,11,netherlands,blue
65,11,denmark,blue
66,12,france,red
67,12,belgium,blue
68,12,luxembourg,green
69,12,germany,blue
70,12,netherlands,blue
71,12,denmark,blue
72,13,france,blue
73,13,belgium,green
74,13,luxembourg,green
75,13,germany,blue
76,13,netherlands,blue
77,13,denmark,blue
78,14,france,green
79,14,belgium,green
80,14,luxembourg,green
81,14,germany,blue
82,14,netherlands,blue
83,14,denmark,blue
84,15,france,red
85,15,belgium,green
86,15,luxembourg,green
87,15,germany,blue
88,15,netherlands,blue
89,15,denmark,blue
90,16,france,blue
91,16,belgium,red
92,16,luxembourg,green
93,16,germany,blue
94,16,netherlands,blue
95,16,denmark,blue
96,17,france,green
97,17,belgium,red
98,17,luxembourg,green
99,17,germany,blue
100,17,netherlands,blue
101,17,denmark,blue
102,18,france,red
103,18,belgium,red
104,18,luxembourg,green
105,18,germany,blue
106,18,netherlands,blue
107,18,denmark,blue
108,19,france,blue
109,19,belgium,blue
110,19,luxembourg,red
111,19,germany,blue
112,19,netherlands,blue
113,19,denmark,blue
114,20,france,green
115,20,belgium,blue
116,20,luxembourg,red
117,20,germany,blue
118,20,netherlands,blue
119,20,denmark,blue
120,21,france,red
121,21,belgium,blue
122,21,luxembourg,red
123,21,germany,blue
124,21,netherlands,blue
125,21,denmark,blue
126,22,france,blue
127,22,belgium,green
128,22,luxembourg,red
129,22,germany,blue
130,22,netherlands,blue
131,22,denmark,blue
132,23,france,green
133,23,belgium,green
134,23,luxembourg,red
135,23,germany,blue
136,23,netherlands,blue
137,23,denmark,blue
138,24,france,red
139,24,belgium,green
140,24,luxembourg,red
141,24,germany,blue
142,24,netherlands,blue
143,24,denmark,blue
144,25,france,blue
145,25,belgium,red
146,25,luxembourg,red
147,25,germany,blue
148,25,netherlands,blue
149,25,denmark,blue
150,26,france,green
151,26,belgium,red
152,26,luxembourg,red
153,26,germany,blue
154,26,netherlands,blue
155,26,denmark,blue
156,27,france,red
157,27,belgium,red
158,27,luxembourg,red
159,27,germany,blue
160,27,netherlands,blue
161,27,denmark,blue
162,28,france,blue
163,28,belgium,blue
164,28,luxembourg,blue
165,28,germany,green
166,28,netherlands,blue
167,28,denmark,blue
168,29,france,green
169,29,belgium,blue
170,29,luxembourg,blue
171,29,germany,green
172,29,netherlands,blue
173,29,denmark,blue
174,30,france,red
175,30,belgium,blue
176,30,luxembourg,blue
177,30,germany,green
178,30,netherlands,blue
179,30,denmark,blue
180,31,france,blue
181,31,belgium,green
182,31,luxembourg,blue
183,31,germany,green
184,31,netherlands,blue
185,31,denmark,blue
186,32,france,green
187,32,belgium,green
188,32,luxembourg,blue
189,32,germany,green
190,32,netherlands,blue
191,32,denmark,blue
192,33,france,red
193,33,belgium,green
194,33,luxembourg,blue
195,33,germany,green
196,33,netherlands,blue
197,33,denmark,blue
198,34,france,blue
199,34,belgium,red
200,34,luxembourg,blue
201,34,germany,green
202,34,netherlands,blue
203,34,denmark,blue
204,35,france,green
205,35,belgium,red
206,35,luxembourg,blue
207,35,germany,green
208,35,netherlands,blue
209,35,denmark,blue
210,36,france,red
211,36,belgium,red
212,36,luxembourg,blue
213,36,germany,green
214,36,netherlands,blue
215,36,denmark,blue
216,37,france,blue
217,37,belgium,blue
218,37,luxembourg,green
219,37,germany,green
220,37,netherlands,blue
221,37,denmark,blue
222,38,france,green
223,38,belgium,blue
224,38,luxembourg,green
225,38,germany,green
226,38,netherlands,blue
227,38,denmark,blue
228,39,france,red
229,39,belgium,blue
230,39,luxembourg,green
231,39,germany,green
232,39,netherlands,blue
233,39,denmark,blue
234,40,france,blue
235,40,belgium,green
236,40,luxembourg,green
237,40,germany,green
238,40,netherlands,blue
239,40,denmark,blue
240,41,france,green
241,41,belgium,green
242,41,luxembourg,green
243,41,germany,green
244,41,netherlands,blue
245,41,denmark,blue
246,42,france,red
247,42,belgium,green
248,42,luxembourg,green
249,42,germany,green
250,42,netherlands,blue
251,42,denmark,blue
252,43,france,blue
253,43,belgium,red
254,43,luxembourg,green
255,43,germany,green
256,43,netherlands,blue
257,43,denmark,blue
258,44,france,green
259,44,belgium,red
260,44,luxembourg,green
261,44,germany,green
262,44,netherlands,blue
263,44,denmark,blue
264,45,france,red
265,45,belgium,red
266,45,luxembourg,green
267,45,germany,green
268,45,netherlands,blue
269,45,denmark,blue
270,46,france,blue
271,46,belgium,blue
272,46,luxembourg,red
273,46,germany,green
274,46,netherlands,blue
275,46,denmark,blue
276,47,france,green
277,47,belgium,blue
278,47,luxembourg,red
279,47,germany,green
280,47,netherlands,blue
281,47,denmark,blue
282,48,france,red
283,48,belgium,blue
284,48,luxembourg,red
285,48,germany,green
286,48,netherlands,blue
287,48,denmark,blue
288,49,france,blue
289,49,belgium,green
290,49,luxembourg,red
291,49,germany,green
292,49,netherlands,blue
293,49,denmark,blue
294,50,france,green
295,50,belgium,green
296,50,luxembourg,red
297,50,germany,green
298,50,netherlands,blue
299,50,denmark,blue
300,51,france,red
301,51,belgium,green
302,51,luxembourg,red
303,51,germany,green
304,51,netherlands,blue
305,51,denmark,blue
306,52,france,blue
307,52,belgium,red
308,52,luxembourg,red
309,52,germany,green
310,52,netherlands,blue
311,52,denmark,blue
312,53,france,green
313,53,belgium,red
314,53,luxembourg,red
315,53,germany,green
316,53,netherlands,blue
317,53,denmark,blue
318,54,france,red
319,54,belgium,red
320,54,luxembourg,red
321,54,germany,green
322,54,netherlands,blue
323,54,denmark,blue
324,55,france,blue
325,55,belgium,blue
326,55,luxembourg,blue
327,55,germany,red
328,55,netherlands,blue
329,55,denmark,blue
330,56,france,green
331,56,belgium,blue
332,56,luxembourg,blue
333,56,germany,red
334,56,netherlands,blue
335,56,denmark,blue
336,57,france,red
337,57,belgium,blue
338,57,luxembourg,blue
339,57,germany,red
340,57,netherlands,blue
