,pw,x1,x2
0,1,1,3
1,1,2,7
2,1,3,2
3,1,4,8
4,1,5,5
5,1,6,1
6,1,7,4
7,1,8,6
8,2,1,3
9,2,2,6
10,2,3,2
11,2,4,7
12,2,5,5
13,2,6,1
14,2,7,8
15,2,8,4
16,3,1,6
17,3,2,4
18,3,3,2
19,3,4,8
20,3,5,5
21,3,6,7
22,3,7,1
23,3,8,3
24,4,1,3
25,4,2,6
26,4,3,8
27,4,4,1
28,4,5,5
29,4,6,7
30,4,7,2
31,4,8,4
32,5,1,6
33,5,2,3
34,5,3,1
35,5,4,7
36,5,5,5
37,5,6,8
38,5,7,2
39,5,8,4
40,6,1,7
41,6,2,3
42,6,3,8
43,6,4,2
44,6,5,5
45,6,6,1
46,6,7,6
47,6,8,4
48,7,1,6
49,7,2,3
50,7,3,1
51,7,4,8
52,7,5,5
53,7,6,2
54,7,7,4
55,7,8,7
56,8,1,4
57,8,2,7
58,8,3,1
59,8,4,8
60,8,5,5
61,8,6,2
62,8,7,6
63,8,8,3
64,9,1,6
65,9,2,2
66,9,3,7
67,9,4,1
68,9,5,4
69,9,6,8
70,9,7,5
71,9,8,3
72,10,1,6
73,10,2,3
74,10,3,7
75,10,4,2
76,10,5,4
77,10,6,8
78,10,7,1
79,10,8,5
80,11,1,3
81,11,2,5
82,11,3,7
83,11,4,1
84,11,5,4
85,11,6,2
86,11,7,8
87,11,8,6
88,12,1,6
89,12,2,3
90,12,3,1
91,12,4,8
92,12,5,4
93,12,6,2
94,12,7,7
95,12,8,5
96,13,1,3
97,13,2,6
98,13,3,8
99,13,4,2
100,13,5,4
101,13,6,1
102,13,7,7
103,13,8,5
104,14,1,3
105,14,2,6
106,14,3,8
107,14,4,1
108,14,5,4
109,14,6,7
110,14,7,5
111,14,8,2
112,15,1,2
113,15,2,6
114,15,3,1
115,15,4,7
116,15,5,4
117,15,6,8
118,15,7,3
119,15,8,5
120,16,1,5
121,16,2,2
122,16,3,8
123,16,4,1
124,16,5,4
125,16,6,7
126,16,7,3
127,16,8,6
128,17,1,3
129,17,2,1
130,17,3,7
131,17,4,5
132,17,5,8
133,17,6,2
134,17,7,4
135,17,8,6
136,18,1,6
137,18,2,4
138,18,3,1
139,18,4,5
140,18,5,8
141,18,6,2
142,18,7,7
143,18,8,3
144,19,1,4
145,19,2,8
146,19,3,1
147,19,4,5
148,19,5,7
149,19,6,2
150,19,7,6
151,19,8,3
152,20,1,4
153,20,2,2
154,20,3,8
155,20,4,5
156,20,5,7
157,20,6,1
158,20,7,3
159,20,8,6
160,21,1,4
161,21,2,2
162,21,3,7
163,21,4,5
164,21,5,1
165,21,6,8
166,21,7,6
167,21,8,3
168,22,1,4
169,22,2,6
170,22,3,1
171,22,4,5
172,22,5,2
173,22,6,8
174,22,7,3
175,22,8,7
176,23,1,7
177,23,2,4
178,23,3,2
179,23,4,5
180,23,5,8
181,23,6,1
182,23,7,3
183,23,8,6
184,24,1,3
185,24,2,6
186,24,3,2
187,24,4,5
188,24,5,8
189,24,6,1
190,24,7,7
191,24,8,4
192,25,1,3
193,25,2,5
194,25,3,8
195,25,4,4
196,25,5,1
