,pw,x1,x2
0,1,"""1_A""","""2_F"""
1,2,"""1_A""","""2_G"""
2,2,"""1_E""","""2_F"""
3,2,"""1_E""","""2_G"""
4,3,"""1_A""","""2_F"""
5,3,"""1_A""","""2_G"""
6,3,"""1_E""","""2_F"""
7,3,"""1_E""","""2_G"""
8,4,"""1_C""","""2_F"""
9,4,"""1_C""","""2_G"""
10,4,"""1_E""","""2_F"""
11,4,"""1_E""","""2_G"""
12,5,"""1_A""","""2_G"""
13,5,"""1_C""","""2_F"""
14,5,"""1_C""","""2_G"""
15,5,"""1_E""","""2_F"""
16,5,"""1_E""","""2_G"""
17,6,"""1_A""","""2_F"""
18,6,"""1_C""","""2_F"""
19,6,"""1_C""","""2_G"""
20,6,"""1_E""","""2_F"""
21,6,"""1_E""","""2_G"""
22,7,"""1_A""","""2_F"""
23,7,"""1_A""","""2_G"""
24,7,"""1_C""","""2_F"""
25,7,"""1_C""","""2_G"""
26,7,"""1_E""","""2_F"""
27,7,"""1_E""","""2_G"""
