,pw,x1,x2
0,1,"""1_A""","""1_B"""
1,1,"""1_A""","""1_C"""
2,1,"""1_A""","""1_D"""
3,1,"""1_A""","""1_E"""
4,1,"""2_A""","""2_B"""
5,1,"""2_A""","""2_D"""
6,1,"""2_A""","""2_F"""
7,1,"""2_A""","""2_G"""
8,2,"""1_A""","""1_B"""
9,2,"""1_A""","""1_C"""
10,2,"""1_A""","""1_D"""
11,2,"""1_A""","""1_E"""
12,2,"""2_A""","""2_B"""
13,2,"""2_A""","""2_D"""
14,2,"""2_A""","""2_F"""
15,2,"""2_A""","""2_G"""
16,3,"""1_A""","""1_B"""
17,3,"""1_A""","""1_C"""
18,3,"""1_A""","""1_D"""
19,3,"""1_A""","""1_E"""
20,3,"""2_A""","""2_B"""
21,3,"""2_A""","""2_D"""
22,3,"""2_A""","""2_F"""
23,3,"""2_A""","""2_G"""
24,4,"""1_A""","""1_B"""
25,4,"""1_A""","""1_C"""
26,4,"""1_A""","""1_D"""
27,4,"""1_A""","""1_E"""
28,4,"""2_A""","""2_B"""
29,4,"""2_A""","""2_D"""
30,4,"""2_A""","""2_F"""
31,4,"""2_A""","""2_G"""
32,5,"""1_A""","""1_B"""
33,5,"""1_A""","""1_C"""
34,5,"""1_A""","""1_D"""
35,5,"""1_A""","""1_E"""
36,5,"""2_A""","""2_B"""
37,5,"""2_A""","""2_D"""
38,5,"""2_A""","""2_F"""
39,5,"""2_A""","""2_G"""
40,6,"""1_A""","""1_B"""
41,6,"""1_A""","""1_C"""
42,6,"""1_A""","""1_D"""
43,6,"""1_A""","""1_E"""
44,6,"""2_A""","""2_B"""
45,6,"""2_A""","""2_D"""
46,6,"""2_A""","""2_F"""
47,6,"""2_A""","""2_G"""
48,7,"""1_A""","""1_B"""
49,7,"""1_A""","""1_C"""
50,7,"""1_A""","""1_D"""
51,7,"""1_A""","""1_E"""
52,7,"""2_A""","""2_B"""
53,7,"""2_A""","""2_D"""
54,7,"""2_A""","""2_F"""
55,7,"""2_A""","""2_G"""
56,8,"""1_A""","""1_B"""
57,8,"""1_A""","""1_C"""
58,8,"""1_A""","""1_D"""
59,8,"""1_A""","""1_E"""
60,8,"""2_A""","""2_B"""
61,8,"""2_A""","""2_D"""
62,8,"""2_A""","""2_F"""
63,8,"""2_A""","""2_G"""
64,9,"""1_A""","""1_B"""
65,9,"""1_A""","""1_C"""
66,9,"""1_A""","""1_D"""
67,9,"""1_A""","""1_E"""
68,9,"""2_A""","""2_B"""
69,9,"""2_A""","""2_D"""
70,9,"""2_A""","""2_F"""
