,pw,x1,x2
0,1,"""1_B""","""2_B"""
1,1,"""1_D""","""2_D"""
2,1,"""2_D""","""1_D"""
3,1,"""2_B""","""1_B"""
4,1,"""2_A""","""2_A"""
5,1,"""1_A""","""1_A"""
6,1,"""2_G""","""2_G"""
7,1,"""2_F""","""2_F"""
8,1,"""2_D""","""2_D"""
9,1,"""2_B""","""2_B"""
10,1,"""1_E""","""1_E"""
11,1,"""1_D""","""1_D"""
12,1,"""1_C""","""1_C"""
13,1,"""1_B""","""1_B"""
14,1,"""1_A""","""2_A"""
15,1,"""1_E""","""2_G"""
16,1,"""2_G""","""1_E"""
17,1,"""2_A""","""1_A"""
18,2,"""1_B""","""2_B"""
19,2,"""1_D""","""2_D"""
20,2,"""2_D""","""1_D"""
21,2,"""2_B""","""1_B"""
22,2,"""2_A""","""2_A"""
23,2,"""1_A""","""1_A"""
24,2,"""2_G""","""2_G"""
25,2,"""2_F""","""2_F"""
26,2,"""2_D""","""2_D"""
27,2,"""2_B""","""2_B"""
28,2,"""1_E""","""1_E"""
29,2,"""1_D""","""1_D"""
30,2,"""1_C""","""1_C"""
31,2,"""1_B""","""1_B"""
32,2,"""1_E""","""2_G"""
33,2,"""2_G""","""1_E"""
34,3,"""1_B""","""2_B"""
35,3,"""1_D""","""2_D"""
36,3,"""2_D""","""1_D"""
37,3,"""2_B""","""1_B"""
38,3,"""2_A""","""2_A"""
39,3,"""1_A""","""1_A"""
40,3,"""2_G""","""2_G"""
41,3,"""2_F""","""2_F"""
42,3,"""2_D""","""2_D"""
43,3,"""2_B""","""2_B"""
44,3,"""1_E""","""1_E"""
45,3,"""1_D""","""1_D"""
46,3,"""1_C""","""1_C"""
47,3,"""1_B""","""1_B"""
48,3,"""1_A""","""2_A"""
49,3,"""2_A""","""1_A"""
50,4,"""1_B""","""2_B"""
51,4,"""1_D""","""2_D"""
52,4,"""2_D""","""1_D"""
53,4,"""2_B""","""1_B"""
54,4,"""2_A""","""2_A"""
55,4,"""1_A""","""1_A"""
56,4,"""2_G""","""2_G"""
57,4,"""2_F""","""2_F"""
58,4,"""2_D""","""2_D"""
59,4,"""2_B""","""2_B"""
60,4,"""1_E""","""1_E"""
61,4,"""1_D""","""1_D"""
62,4,"""1_C""","""1_C"""
63,4,"""1_B""","""1_B"""
64,5,"""1_B""","""2_B"""
65,5,"""1_D""","""2_D"""
66,5,"""2_D""","""1_D"""
67,5,"""2_B""","""1_B"""
68,5,"""2_A""","""2_A"""
69,5,"""1_A""","""1_A"""
70,5,"""2_G""","""2_G"""
71,5,"""2_F""","""2_F"""
72,5,"""2_D""","""2_D"""
73,5,"""2_B""","""2_B"""
74,5,"""1_E""","""1_E"""
75,5,"""1_D""","""1_D"""
76,5,"""1_C""","""1_C"""
77,5,"""1_B""","""1_B"""
78,5,"""1_A""","""2_A"""
79,5,"""2_A""","""1_A"""
80,6,"""1_B""","""2_B"""
81,6,"""1_D""","""2_D"""
82,6,"""2_D""","""1_D"""
83,6,"""2_B""","""1_B"""
84,6,"""2_A""","""2_A"""
85,6,"""1_A""","""1_A"""
86,6,"""2_G""","""2_G"""
87,6,"""2_F""","""2_F"""
88,6,"""2_D""","""2_D"""
89,6,"""2_B""","""2_B"""
90,6,"""1_E""","""1_E"""
91,6,"""1_D""","""1_D"""
92,6,"""1_C""","""1_C"""
93,6,"""1_B""","""1_B"""
94,7,"""1_B""","""2_B"""
95,7,"""1_D""","""2_D"""
96,7,"""2_D""","""1_D"""
97,7,"""2_B""","""1_B"""
98,7,"""2_A""","""2_A"""
99,7,"""1_A""","""1_A"""
100,7,"""2_G""","""2_G"""
101,7,"""2_F""","""2_F"""
102,7,"""2_D""","""2_D"""
103,7,"""2_B""","""2_B"""
104,7,"""1_E""","""1_E"""
105,7,"""1_D""","""1_D"""
106,7,"""1_C""","""1_C"""
107,7,"""1_B""","""1_B"""
108,7,"""1_A""","""2_A"""
109,7,"""1_E""","""2_G"""
110,7,"""2_G""","""1_E"""
111,7,"""2_A""","""1_A"""
112,8,"""1_B""","""2_B"""
113,8,"""1_D""","""2_D"""
114,8,"""2_D""","""1_D"""
115,8,"""2_B""","""1_B"""
116,8,"""2_A""","""2_A"""
117,8,"""1_A""","""1_A"""
118,8,"""2_G""","""2_G"""
119,8,"""2_F""","""2_F"""
120,8,"""2_D""","""2_D"""
121,8,"""2_B""","""2_B"""
122,8,"""1_E""","""1_E"""
123,8,"""1_D""","""1_D"""
124,8,"""1_C""","""1_C"""
125,8,"""1_B""","""1_B"""
126,8,"""1_E""","""2_G"""
127,8,"""2_G""","""1_E"""
128,9,"""1_B""","""2_B"""
129,9,"""1_D""","""2_D"""
130,9,"""2_D""","""1_D"""
131,9,"""2_B""","""1_B"""
132,9,"""2_A""","""2_A"""
133,9,"""1_A""","""1_A"""
134,9,"""2_G""","""2_G"""
135,9,"""2_F""","""2_F"""
136,9,"""2_D""","""2_D"""
137,9,"""2_B""","""2_B"""
138,9,"""1_E""","""1_E"""
139,9,"""1_D""","""1_D"""
140,9,"""1_C""","""1_C"""
141,9,"""1_B""","""1_B"""
142,9,"""1_A""","""2_A"""
143,9,"""2_A""","""1_A"""
144,10,"""1_B""","""2_B"""
145,10,"""1_D""","""2_D"""
146,10,"""2_D""","""1_D"""
147,10,"""2_B""","""1_B"""
148,10,"""2_A""","""2_A"""
149,10,"""1_A""","""1_A"""
150,10,"""2_G""","""2_G"""
151,10,"""2_F""","""2_F"""
152,10,"""2_D""","""2_D"""
153,10,"""2_B""","""2_B"""
154,10,"""1_E""","""1_E"""
155,10,"""1_D""","""1_D"""
156,10,"""1_C""","""1_C"""
157,10,"""1_B""","""1_B"""
158,11,"""1_B""","""2_B"""
159,11,"""1_D""","""2_D"""
160,11,"""2_D""","""1_D"""
161,11,"""2_B""","""1_B"""
162,11,"""2_A""","""2_A"""
163,11,"""1_A""","""1_A"""
164,11,"""2_G""","""2_G"""
165,11,"""2_F""","""2_F"""
166,11,"""2_D""","""2_D"""
167,11,"""2_B""","""2_B"""
168,11,"""1_E""","""1_E"""
169,11,"""1_D""","""1_D"""
170,11,"""1_C""","""1_C"""
171,11,"""1_B""","""1_B"""
172,11,"""1_A""","""2_A"""
173,11,"""2_A""","""1_A"""
174,12,"""1_B""","""2_B"""
175,12,"""1_D""","""2_D"""
176,12,"""2_D""","""1_D"""
177,12,"""2_B""","""1_B"""
178,12,"""2_A""","""2_A"""
179,12,"""1_A""","""1_A"""
180,12,"""2_G""","""2_G"""
181,12,"""2_F""","""2_F"""
182,12,"""2_D""","""2_D"""
183,12,"""2_B""","""2_B"""
184,12,"""1_E""","""1_E"""
185,12,"""1_D""","""1_D"""
186,12,"""1_C""","""1_C"""
187,12,"""1_B""","""1_B"""
188,13,"""1_B""","""2_B"""
189,13,"""1_D""","""2_D"""
190,13,"""2_D""","""1_D"""
191,13,"""2_B""","""1_B"""
192,13,"""2_A""","""2_A"""
193,13,"""1_A""","""1_A"""
194,13,"""2_G""","""2_G"""
195,13,"""2_F""","""2_F"""
