,pw,x1
0,1,"""1_B"""
1,1,"""1_C"""
2,1,"""1_D"""
3,1,"""1_E"""
4,1,"""2_B"""
5,1,"""2_D"""
6,1,"""2_F"""
7,1,"""2_G"""
8,1,"""1_A"""
9,1,"""2_A"""
10,2,"""1_B"""
11,2,"""1_C"""
12,2,"""1_D"""
13,2,"""1_E"""
14,2,"""2_B"""
15,2,"""2_D"""
16,2,"""2_F"""
17,2,"""2_G"""
18,2,"""1_A"""
19,2,"""2_A"""
20,3,"""1_B"""
21,3,"""1_C"""
22,3,"""1_D"""
23,3,"""1_E"""
24,3,"""2_B"""
25,3,"""2_D"""
26,3,"""2_F"""
27,3,"""2_G"""
28,3,"""1_A"""
29,3,"""2_A"""
30,4,"""1_B"""
31,4,"""1_C"""
32,4,"""1_D"""
33,4,"""1_E"""
34,4,"""2_B"""
35,4,"""2_D"""
36,4,"""2_F"""
37,4,"""2_G"""
38,4,"""1_A"""
39,4,"""2_A"""
40,5,"""1_B"""
41,5,"""1_C"""
42,5,"""1_D"""
43,5,"""1_E"""
44,5,"""2_B"""
45,5,"""2_D"""
46,5,"""2_F"""
47,5,"""2_G"""
48,5,"""1_A"""
49,5,"""2_A"""
50,6,"""1_B"""
51,6,"""1_C"""
52,6,"""1_D"""
53,6,"""1_E"""
54,6,"""2_B"""
55,6,"""2_D"""
56,6,"""2_F"""
57,6,"""2_G"""
58,6,"""1_A"""
59,6,"""2_A"""
60,7,"""1_B"""
61,7,"""1_C"""
62,7,"""1_D"""
63,7,"""1_E"""
64,7,"""2_B"""
65,7,"""2_D"""
66,7,"""2_F"""
67,7,"""2_G"""
68,7,"""1_A"""
69,7,"""2_A"""
70,8,"""1_B"""
71,8,"""1_C"""
72,8,"""1_D"""
73,8,"""1_E"""
74,8,"""2_B"""
75,8,"""2_D"""
76,8,"""2_F"""
77,8,"""2_G"""
78,8,"""1_A"""
79,8,"""2_A"""
80,9,"""1_B"""
81,9,"""1_C"""
82,9,"""1_D"""
83,9,"""1_E"""
84,9,"""2_B"""
85,9,"""2_D"""
86,9,"""2_F"""
87,9,"""2_G"""
88,9,"""1_A"""
89,9,"""2_A"""
90,10,"""1_B"""
91,10,"""1_C"""
92,10,"""1_D"""
93,10,"""1_E"""
94,10,"""2_B"""
95,10,"""2_D"""
96,10,"""2_F"""
97,10,"""2_G"""
98,10,"""1_A"""
99,10,"""2_A"""
100,11,"""1_B"""
101,11,"""1_C"""
102,11,"""1_D"""
103,11,"""1_E"""
104,11,"""2_B"""
105,11,"""2_D"""
106,11,"""2_F"""
107,11,"""2_G"""
108,11,"""1_A"""
109,11,"""2_A"""
110,12,"""1_B"""
111,12,"""1_C"""
112,12,"""1_D"""
113,12,"""1_E"""
114,12,"""2_B"""
115,12,"""2_D"""
116,12,"""2_F"""
117,12,"""2_G"""
118,12,"""1_A"""
119,12,"""2_A"""
120,13,"""1_B"""
121,13,"""1_C"""
122,13,"""1_D"""
123,13,"""1_E"""
124,13,"""2_B"""
125,13,"""2_D"""
126,13,"""2_F"""
127,13,"""2_G"""
128,13,"""1_A"""
129,13,"""2_A"""
130,14,"""1_B"""
131,14,"""1_C"""
132,14,"""1_D"""
133,14,"""1_E"""
134,14,"""2_B"""
135,14,"""2_D"""
136,14,"""2_F"""
137,14,"""2_G"""
138,14,"""1_A"""
139,14,"""2_A"""
140,15,"""1_B"""
141,15,"""1_C"""
142,15,"""1_D"""
143,15,"""1_E"""
144,15,"""2_B"""
145,15,"""2_D"""
146,15,"""2_F"""
147,15,"""2_G"""
148,15,"""1_A"""
149,15,"""2_A"""
150,16,"""1_B"""
151,16,"""1_C"""
152,16,"""1_D"""
153,16,"""1_E"""
154,16,"""2_B"""
155,16,"""2_D"""
156,16,"""2_F"""
157,16,"""2_G"""
158,16,"""1_A"""
159,16,"""2_A"""
160,17,"""1_B"""
161,17,"""1_C"""
162,17,"""1_D"""
163,17,"""1_E"""
164,17,"""2_B"""
165,17,"""2_D"""
166,17,"""2_F"""
167,17,"""2_G"""
168,17,"""1_A"""
169,17,"""2_A"""
170,18,"""1_B"""
171,18,"""1_C"""
172,18,"""1_D"""
173,18,"""1_E"""
174,18,"""2_B"""
175,18,"""2_D"""
176,18,"""2_F"""
177,18,"""2_G"""
178,18,"""1_A"""
179,18,"""2_A"""
180,19,"""1_B"""
181,19,"""1_C"""
182,19,"""1_D"""
183,19,"""1_E"""
184,19,"""2_B"""
185,19,"""2_D"""
186,19,"""2_F"""
187,19,"""2_G"""
188,19,"""1_A"""
189,19,"""2_A"""
190,20,"""1_B"""
191,20,"""1_C"""
192,20,"""1_D"""
193,20,"""1_E"""
194,20,"""2_B"""
195,20,"""2_D"""
196,20,"""2_F"""
197,20,"""2_G"""
198,20,"""1_A"""
199,20,"""2_A"""
200,21,"""1_B"""
201,21,"""1_C"""
202,21,"""1_D"""
203,21,"""1_E"""
204,21,"""2_B"""
205,21,"""2_D"""
206,21,"""2_F"""
207,21,"""2_G"""
208,21,"""1_A"""
209,21,"""2_A"""
210,22,"""1_B"""
211,22,"""1_C"""
212,22,"""1_D"""
213,22,"""1_E"""
214,22,"""2_B"""
215,22,"""2_D"""
216,22,"""2_F"""
217,22,"""2_G"""
218,22,"""1_A"""
