,pw,x1,x2,x3
0,1,"""PC_Beer""","""BI_Beer""","""="""
1,1,"""PC_Ale""","""BI_Ale""","""="""
2,1,"""PC_Lager""","""BI_Lager""","""="""
3,1,"""PC_MildAle""","""BI_Browns""","""="""
4,1,"""PC_PaleAle""","""BI_PaleAles""","""="""
5,1,"""PC_Beer""","""BI_PaleAles""",""">"""
6,1,"""PC_Beer""","""BI_Ale""",""">"""
7,1,"""PC_Beer""","""BI_Stouts""",""">"""
8,1,"""PC_Beer""","""BI_Porters""",""">"""
9,1,"""PC_Beer""","""BI_Browns""",""">"""
10,1,"""PC_Beer""","""BI_Wheats""",""">"""
11,1,"""PC_Beer""","""BI_Sours""",""">"""
12,1,"""PC_Beer""","""BI_Belgians""",""">"""
13,1,"""PC_Beer""","""BI_Bocks""",""">"""
14,1,"""PC_Beer""","""BI_Lager""",""">"""
15,1,"""PC_Beer""","""BI_PaleLagers""",""">"""
16,1,"""PC_Ale""","""BI_PaleAles""",""">"""
17,1,"""PC_Ale""","""BI_Stouts""",""">"""
18,1,"""PC_Ale""","""BI_Porters""",""">"""
19,1,"""PC_Ale""","""BI_Browns""",""">"""
20,1,"""PC_Ale""","""BI_Wheats""",""">"""
21,1,"""PC_Ale""","""BI_Sours""",""">"""
22,1,"""PC_Ale""","""BI_Belgians""",""">"""
23,1,"""PC_Lager""","""BI_Bocks""",""">"""
24,1,"""PC_Lager""","""BI_PaleLagers""",""">"""
25,1,"""PC_Lambic""","""BI_Sours""",""">"""
26,1,"""PC_StoutPorter""","""BI_Stouts""",""">"""
27,1,"""PC_StoutPorter""","""BI_Porters""",""">"""
28,1,"""PC_GermanLager""","""BI_Bocks""",""">"""
29,1,"""PC_Ale""","""BI_Beer""","""<"""
30,1,"""PC_Lager""","""BI_Beer""","""<"""
31,1,"""PC_MildAle""","""BI_Beer""","""<"""
32,1,"""PC_MildAle""","""BI_Ale""","""<"""
33,1,"""PC_Lambic""","""BI_Beer""","""<"""
34,1,"""PC_Lambic""","""BI_Ale""","""<"""
35,1,"""PC_BelgianAle""","""BI_Beer""","""<"""
36,1,"""PC_BelgianAle""","""BI_Ale""","""<"""
37,1,"""PC_GermanAle""","""BI_Beer""","""<"""
38,1,"""PC_GermanAle""","""BI_Ale""","""<"""
39,1,"""PC_GermanAle""","""BI_Wheats""","""<"""
40,1,"""PC_StoutPorter""","""BI_Beer""","""<"""
41,1,"""PC_StoutPorter""","""BI_Ale""","""<"""
42,1,"""PC_PaleAle""","""BI_Beer""","""<"""
43,1,"""PC_PaleAle""","""BI_Ale""","""<"""
44,1,"""PC_GermanLager""","""BI_Beer""","""<"""
45,1,"""PC_GermanLager""","""BI_Lager""","""<"""
46,1,"""PC_AmericanLager""","""BI_Beer""","""<"""
47,1,"""PC_AmericanLager""","""BI_Lager""","""<"""
48,1,"""PC_AmericanLager""","""BI_PaleLagers""","""<"""
49,1,"""PC_Lambic""","""BI_Belgians""","""o"""
50,1,"""PC_BelgianAle""","""BI_Wheats""","""o"""
51,1,"""PC_BelgianAle""","""BI_Belgians""","""o"""
52,1,"""PC_GermanLager""","""BI_PaleLagers""","""o"""
53,1,"""PC_Ale""","""BI_Bocks""","""!"""
54,1,"""PC_Ale""","""BI_Lager""","""!"""
55,1,"""PC_Ale""","""BI_PaleLagers""","""!"""
56,1,"""PC_Lager""","""BI_PaleAles""","""!"""
57,1,"""PC_Lager""","""BI_Ale""","""!"""
58,1,"""PC_Lager""","""BI_Stouts""","""!"""
59,1,"""PC_Lager""","""BI_Porters""","""!"""
60,1,"""PC_Lager""","""BI_Browns""","""!"""
61,1,"""PC_Lager""","""BI_Wheats""","""!"""
62,1,"""PC_Lager""","""BI_Sours""","""!"""
63,1,"""PC_Lager""","""BI_Belgians""","""!"""
64,1,"""PC_MildAle""","""BI_PaleAles""","""!"""
65,1,"""PC_MildAle""","""BI_Stouts""","""!"""
66,1,"""PC_MildAle""","""BI_Porters""","""!"""
67,1,"""PC_MildAle""","""BI_Wheats""","""!"""
68,1,"""PC_MildAle""","""BI_Sours""","""!"""
69,1,"""PC_MildAle""","""BI_Belgians""","""!"""
70,1,"""PC_MildAle""","""BI_Bocks""","""!"""
71,1,"""PC_MildAle""","""BI_Lager""","""!"""
72,1,"""PC_MildAle""","""BI_PaleLagers""","""!"""
73,1,"""PC_Lambic""","""BI_PaleAles""","""!"""
74,1,"""PC_Lambic""","""BI_Stouts""","""!"""
75,1,"""PC_Lambic""","""BI_Porters""","""!"""
76,1,"""PC_Lambic""","""BI_Browns""","""!"""
77,1,"""PC_Lambic""","""BI_Wheats""","""!"""
78,1,"""PC_Lambic""","""BI_Bocks""","""!"""
79,1,"""PC_Lambic""","""BI_Lager""","""!"""
80,1,"""PC_Lambic""","""BI_PaleLagers""","""!"""
81,1,"""PC_BelgianAle""","""BI_PaleAles""","""!"""
82,1,"""PC_BelgianAle""","""BI_Stouts""","""!"""
83,1,"""PC_BelgianAle""","""BI_Porters""","""!"""
84,1,"""PC_BelgianAle""","""BI_Browns""","""!"""
85,1,"""PC_BelgianAle""","""BI_Sours""","""!"""
86,1,"""PC_BelgianAle""","""BI_Bocks""","""!"""
87,1,"""PC_BelgianAle""","""BI_Lager""","""!"""
88,1,"""PC_BelgianAle""","""BI_PaleLagers""","""!"""
89,1,"""PC_GermanAle""","""BI_PaleAles""","""!"""
90,1,"""PC_GermanAle""","""BI_Stouts""","""!"""
91,1,"""PC_GermanAle""","""BI_Porters""","""!"""
92,1,"""PC_GermanAle""","""BI_Browns""","""!"""
93,1,"""PC_GermanAle""","""BI_Sours""","""!"""
94,1,"""PC_GermanAle""","""BI_Belgians""","""!"""
95,1,"""PC_GermanAle""","""BI_Bocks""","""!"""
96,1,"""PC_GermanAle""","""BI_Lager""","""!"""
97,1,"""PC_GermanAle""","""BI_PaleLagers""","""!"""
98,1,"""PC_StoutPorter""","""BI_PaleAles""","""!"""
99,1,"""PC_StoutPorter""","""BI_Browns""","""!"""
100,1,"""PC_StoutPorter""","""BI_Wheats""","""!"""
101,1,"""PC_StoutPorter""","""BI_Sours""","""!"""
102,1,"""PC_StoutPorter""","""BI_Belgians""","""!"""
103,1,"""PC_StoutPorter""","""BI_Bocks""","""!"""
104,1,"""PC_StoutPorter""","""BI_Lager""","""!"""
105,1,"""PC_StoutPorter""","""BI_PaleLagers""","""!"""
106,1,"""PC_PaleAle""","""BI_Stouts""","""!"""
107,1,"""PC_PaleAle""","""BI_Porters""","""!"""
108,1,"""PC_PaleAle""","""BI_Browns""","""!"""
109,1,"""PC_PaleAle""","""BI_Wheats""","""!"""
110,1,"""PC_PaleAle""","""BI_Sours""","""!"""
111,1,"""PC_PaleAle""","""BI_Belgians""","""!"""
112,1,"""PC_PaleAle""","""BI_Bocks""","""!"""
113,1,"""PC_PaleAle""","""BI_Lager""","""!"""
114,1,"""PC_PaleAle""","""BI_PaleLagers""","""!"""
115,1,"""PC_GermanLager""","""BI_PaleAles""","""!"""
