,pw,x1,x2
0,1,"""CEN_USA""","""NDC_USA"""
1,1,"""CEN_Midwest""","""NDC_Midwest"""
2,1,"""CEN_CT""","""NDC_CT"""
3,1,"""CEN_MA""","""NDC_MA"""
4,1,"""CEN_ME""","""NDC_ME"""
5,1,"""CEN_NH""","""NDC_NH"""
6,1,"""CEN_NJ""","""NDC_NJ"""
7,1,"""CEN_NY""","""NDC_NY"""
8,1,"""CEN_PA""","""NDC_PA"""
9,1,"""CEN_RI""","""NDC_RI"""
10,1,"""CEN_VT""","""NDC_VT"""
11,1,"""CEN_IL""","""NDC_IL"""
12,1,"""CEN_IN""","""NDC_IN"""
13,1,"""CEN_IA""","""NDC_IA"""
14,1,"""CEN_KS""","""NDC_KS"""
15,1,"""CEN_MI""","""NDC_MI"""
16,1,"""CEN_MN""","""NDC_MN"""
17,1,"""CEN_MO""","""NDC_MO"""
18,1,"""CEN_NE""","""NDC_NE"""
19,1,"""CEN_ND""","""NDC_ND"""
20,1,"""CEN_OH""","""NDC_OH"""
21,1,"""CEN_SD""","""NDC_SD"""
22,1,"""CEN_WI""","""NDC_WI"""
23,1,"""CEN_AL""","""NDC_AL"""
24,1,"""CEN_AR""","""NDC_AR"""
25,1,"""CEN_DE""","""NDC_DE"""
26,1,"""CEN_DC""","""NDC_DC"""
27,1,"""CEN_FL""","""NDC_FL"""
28,1,"""CEN_GA""","""NDC_GA"""
29,1,"""CEN_KY""","""NDC_KY"""
30,1,"""CEN_LA""","""NDC_LA"""
31,1,"""CEN_MD""","""NDC_MD"""
32,1,"""CEN_MS""","""NDC_MS"""
33,1,"""CEN_NC""","""NDC_NC"""
34,1,"""CEN_OK""","""NDC_OK"""
35,1,"""CEN_SC""","""NDC_SC"""
36,1,"""CEN_TN""","""NDC_TN"""
37,1,"""CEN_TX""","""NDC_TX"""
38,1,"""CEN_VA""","""NDC_VA"""
39,1,"""CEN_WV""","""NDC_WV"""
40,1,"""CEN_AZ""","""NDC_AZ"""
41,1,"""CEN_CA""","""NDC_CA"""
42,1,"""CEN_CO""","""NDC_CO"""
43,1,"""CEN_ID""","""NDC_ID"""
44,1,"""CEN_MT""","""NDC_MT"""
45,1,"""CEN_NV""","""NDC_NV"""
46,1,"""CEN_NM""","""NDC_NM"""
47,1,"""CEN_OR""","""NDC_OR"""
48,1,"""CEN_UT""","""NDC_UT"""
49,1,"""CEN_WA""","""NDC_WA"""
50,1,"""CEN_WY""","""NDC_WY"""
