,pw,x1,x2
0,1,"""NDC_USA""","""CEN_Northeast"""
1,1,"""NDC_Northeast""","""CEN_Northeast"""
2,1,"""NDC_USA""","""CEN_Midwest"""
3,1,"""NDC_USA""","""CEN_South"""
4,1,"""NDC_USA""","""CEN_West"""
5,1,"""NDC_USA""","""CEN_CT"""
6,1,"""NDC_Northeast""","""CEN_CT"""
7,1,"""NDC_USA""","""CEN_MA"""
8,1,"""NDC_Northeast""","""CEN_MA"""
9,1,"""NDC_USA""","""CEN_ME"""
10,1,"""NDC_Northeast""","""CEN_ME"""
11,1,"""NDC_USA""","""CEN_NH"""
12,1,"""NDC_Northeast""","""CEN_NH"""
13,1,"""NDC_USA""","""CEN_NJ"""
14,1,"""NDC_Northeast""","""CEN_NJ"""
15,1,"""NDC_USA""","""CEN_NY"""
16,1,"""NDC_Northeast""","""CEN_NY"""
17,1,"""NDC_USA""","""CEN_PA"""
18,1,"""NDC_Northeast""","""CEN_PA"""
19,1,"""NDC_USA""","""CEN_RI"""
20,1,"""NDC_Northeast""","""CEN_RI"""
21,1,"""NDC_USA""","""CEN_VT"""
22,1,"""NDC_Northeast""","""CEN_VT"""
23,1,"""NDC_USA""","""CEN_IL"""
24,1,"""NDC_Midwest""","""CEN_IL"""
25,1,"""NDC_USA""","""CEN_IN"""
26,1,"""NDC_Midwest""","""CEN_IN"""
27,1,"""NDC_USA""","""CEN_IA"""
28,1,"""NDC_Midwest""","""CEN_IA"""
29,1,"""NDC_USA""","""CEN_KS"""
30,1,"""NDC_Midwest""","""CEN_KS"""
31,1,"""NDC_USA""","""CEN_MI"""
32,1,"""NDC_Midwest""","""CEN_MI"""
33,1,"""NDC_USA""","""CEN_MN"""
34,1,"""NDC_Midwest""","""CEN_MN"""
35,1,"""NDC_USA""","""CEN_MO"""
36,1,"""NDC_Midwest""","""CEN_MO"""
37,1,"""NDC_USA""","""CEN_NE"""
38,1,"""NDC_Midwest""","""CEN_NE"""
39,1,"""NDC_USA""","""CEN_ND"""
40,1,"""NDC_Midwest""","""CEN_ND"""
41,1,"""NDC_USA""","""CEN_OH"""
42,1,"""NDC_Midwest""","""CEN_OH"""
43,1,"""NDC_USA""","""CEN_SD"""
44,1,"""NDC_Midwest""","""CEN_SD"""
45,1,"""NDC_USA""","""CEN_WI"""
46,1,"""NDC_Midwest""","""CEN_WI"""
47,1,"""NDC_USA""","""CEN_AL"""
48,1,"""NDC_Southeast""","""CEN_AL"""
49,1,"""NDC_USA""","""CEN_AR"""
50,1,"""NDC_Southeast""","""CEN_AR"""
51,1,"""NDC_USA""","""CEN_DE"""
52,1,"""NDC_Northeast""","""CEN_DE"""
53,1,"""NDC_USA""","""CEN_DC"""
54,1,"""NDC_Northeast""","""CEN_DC"""
55,1,"""NDC_USA""","""CEN_FL"""
56,1,"""NDC_Southeast""","""CEN_FL"""
57,1,"""NDC_USA""","""CEN_GA"""
58,1,"""NDC_Southeast""","""CEN_GA"""
59,1,"""NDC_USA""","""CEN_KY"""
60,1,"""NDC_Southeast""","""CEN_KY"""
61,1,"""NDC_USA""","""CEN_LA"""
62,1,"""NDC_Southeast""","""CEN_LA"""
63,1,"""NDC_USA""","""CEN_MD"""
64,1,"""NDC_Northeast""","""CEN_MD"""
65,1,"""NDC_USA""","""CEN_MS"""
66,1,"""NDC_Southeast""","""CEN_MS"""
67,1,"""NDC_USA""","""CEN_NC"""
68,1,"""NDC_Southeast""","""CEN_NC"""
69,1,"""NDC_USA""","""CEN_OK"""
70,1,"""NDC_Southwest""","""CEN_OK"""
71,1,"""NDC_USA""","""CEN_SC"""
72,1,"""NDC_Southeast""","""CEN_SC"""
73,1,"""NDC_USA""","""CEN_TN"""
74,1,"""NDC_Southeast""","""CEN_TN"""
75,1,"""NDC_USA""","""CEN_TX"""
76,1,"""NDC_Southwest""","""CEN_TX"""
77,1,"""NDC_USA""","""CEN_VA"""
78,1,"""NDC_Southeast""","""CEN_VA"""
79,1,"""NDC_USA""","""CEN_WV"""
80,1,"""NDC_Southeast""","""CEN_WV"""
81,1,"""NDC_USA""","""CEN_AZ"""
82,1,"""NDC_Southwest""","""CEN_AZ"""
83,1,"""NDC_USA""","""CEN_CA"""
84,1,"""NDC_West""","""CEN_CA"""
85,1,"""NDC_USA""","""CEN_CO"""
86,1,"""NDC_West""","""CEN_CO"""
87,1,"""NDC_USA""","""CEN_ID"""
88,1,"""NDC_West""","""CEN_ID"""
89,1,"""NDC_USA""","""CEN_MT"""
90,1,"""NDC_West""","""CEN_MT"""
91,1,"""NDC_USA""","""CEN_NV"""
92,1,"""NDC_West""","""CEN_NV"""
93,1,"""NDC_USA""","""CEN_NM"""
94,1,"""NDC_Southwest""","""CEN_NM"""
95,1,"""NDC_USA""","""CEN_OR"""
96,1,"""NDC_West""","""CEN_OR"""
97,1,"""NDC_USA""","""CEN_UT"""
98,1,"""NDC_West""","""CEN_UT"""
99,1,"""NDC_USA""","""CEN_WA"""
100,1,"""NDC_West""","""CEN_WA"""
101,1,"""NDC_USA""","""CEN_WY"""
102,1,"""NDC_West""","""CEN_WY"""
