,pw,x1,x2
0,1,"""CEN_USA""","""CEN_Northeast"""
1,1,"""CEN_USA""","""CEN_Midwest"""
2,1,"""CEN_USA""","""CEN_South"""
3,1,"""CEN_USA""","""CEN_West"""
4,1,"""NDC_USA""","""NDC_Midwest"""
5,1,"""NDC_USA""","""NDC_Northeast"""
6,1,"""NDC_USA""","""NDC_Southeast"""
7,1,"""NDC_USA""","""NDC_Southwest"""
8,1,"""NDC_USA""","""NDC_West"""
9,2,"""CEN_USA""","""CEN_Northeast"""
10,2,"""CEN_USA""","""CEN_Midwest"""
11,2,"""CEN_USA""","""CEN_South"""
12,2,"""CEN_USA""","""CEN_West"""
13,2,"""NDC_USA""","""NDC_Midwest"""
14,2,"""NDC_USA""","""NDC_Northeast"""
15,2,"""NDC_USA""","""NDC_Southeast"""
16,2,"""NDC_USA""","""NDC_Southwest"""
17,2,"""NDC_USA""","""NDC_West"""
18,3,"""CEN_USA""","""CEN_Northeast"""
19,3,"""CEN_USA""","""CEN_Midwest"""
20,3,"""CEN_USA""","""CEN_South"""
21,3,"""CEN_USA""","""CEN_West"""
22,3,"""NDC_USA""","""NDC_Midwest"""
23,3,"""NDC_USA""","""NDC_Northeast"""
24,3,"""NDC_USA""","""NDC_Southeast"""
25,3,"""NDC_USA""","""NDC_Southwest"""
26,3,"""NDC_USA""","""NDC_West"""
27,4,"""CEN_USA""","""CEN_Northeast"""
28,4,"""CEN_USA""","""CEN_Midwest"""
29,4,"""CEN_USA""","""CEN_South"""
30,4,"""CEN_USA""","""CEN_West"""
31,4,"""NDC_USA""","""NDC_Midwest"""
32,4,"""NDC_USA""","""NDC_Northeast"""
33,4,"""NDC_USA""","""NDC_Southeast"""
34,4,"""NDC_USA""","""NDC_Southwest"""
35,4,"""NDC_USA""","""NDC_West"""
