,pw,x1,x2
0,1,"""CEN_West""","""NDC_Northeast"""
1,1,"""CEN_Midwest""","""CEN_Northeast"""
2,1,"""CEN_South""","""CEN_Northeast"""
3,1,"""CEN_West""","""CEN_Northeast"""
4,1,"""CEN_Northeast""","""CEN_Midwest"""
5,1,"""CEN_South""","""CEN_Midwest"""
6,1,"""CEN_West""","""CEN_Midwest"""
7,1,"""CEN_Northeast""","""CEN_South"""
8,1,"""CEN_Midwest""","""CEN_South"""
9,1,"""CEN_West""","""CEN_South"""
10,1,"""CEN_Northeast""","""CEN_West"""
11,1,"""CEN_Midwest""","""CEN_West"""
12,1,"""CEN_South""","""CEN_West"""
13,1,"""NDC_Northeast""","""NDC_Midwest"""
14,1,"""NDC_Southeast""","""NDC_Midwest"""
15,1,"""NDC_Southwest""","""NDC_Midwest"""
16,1,"""NDC_West""","""NDC_Midwest"""
17,1,"""NDC_Midwest""","""NDC_Northeast"""
18,1,"""NDC_Southeast""","""NDC_Northeast"""
19,1,"""NDC_Southwest""","""NDC_Northeast"""
20,1,"""NDC_West""","""NDC_Northeast"""
21,1,"""NDC_Midwest""","""NDC_Southeast"""
22,1,"""NDC_Northeast""","""NDC_Southeast"""
23,1,"""NDC_Southwest""","""NDC_Southeast"""
24,1,"""NDC_West""","""NDC_Southeast"""
25,1,"""NDC_Midwest""","""NDC_Southwest"""
26,1,"""NDC_Northeast""","""NDC_Southwest"""
27,1,"""NDC_Southeast""","""NDC_Southwest"""
28,1,"""NDC_West""","""NDC_Southwest"""
29,1,"""NDC_Midwest""","""NDC_West"""
30,1,"""NDC_Northeast""","""NDC_West"""
31,1,"""NDC_Southeast""","""NDC_West"""
32,1,"""NDC_Southwest""","""NDC_West"""
33,1,"""NDC_Northeast""","""CEN_West"""
34,1,"""CEN_Northeast""","""NDC_West"""
35,1,"""CEN_Northeast""","""NDC_Southwest"""
36,1,"""CEN_Northeast""","""NDC_Southeast"""
37,1,"""CEN_Northeast""","""NDC_Midwest"""
38,1,"""CEN_South""","""NDC_Midwest"""
39,1,"""CEN_West""","""NDC_Midwest"""
40,1,"""CEN_Midwest""","""NDC_West"""
41,1,"""CEN_Midwest""","""NDC_Southwest"""
42,1,"""CEN_Midwest""","""NDC_Southeast"""
43,1,"""CEN_Midwest""","""NDC_Northeast"""
44,1,"""NDC_Northeast""","""CEN_Midwest"""
45,1,"""NDC_Southeast""","""CEN_Midwest"""
46,1,"""NDC_Southwest""","""CEN_Midwest"""
47,1,"""NDC_West""","""CEN_Midwest"""
48,1,"""NDC_Midwest""","""CEN_West"""
49,1,"""NDC_Midwest""","""CEN_South"""
50,1,"""NDC_Midwest""","""CEN_Northeast"""
51,1,"""NDC_Southeast""","""CEN_Northeast"""
52,1,"""NDC_Southwest""","""CEN_Northeast"""
53,1,"""NDC_West""","""CEN_Northeast"""
54,1,"""NDC_West""","""CEN_South"""
55,1,"""NDC_Southeast""","""CEN_West"""
56,1,"""CEN_South""","""NDC_West"""
57,1,"""CEN_West""","""NDC_Southeast"""
58,2,"""CEN_West""","""NDC_Northeast"""
59,2,"""CEN_Midwest""","""CEN_Northeast"""
60,2,"""CEN_South""","""CEN_Northeast"""
61,2,"""CEN_West""","""CEN_Northeast"""
62,2,"""CEN_Northeast""","""CEN_Midwest"""
63,2,"""CEN_South""","""CEN_Midwest"""
64,2,"""CEN_West""","""CEN_Midwest"""
65,2,"""CEN_Northeast""","""CEN_South"""
66,2,"""CEN_Midwest""","""CEN_South"""
67,2,"""CEN_West""","""CEN_South"""
68,2,"""CEN_Northeast""","""CEN_West"""
69,2,"""CEN_Midwest""","""CEN_West"""
70,2,"""CEN_South""","""CEN_West"""
71,2,"""NDC_Northeast""","""NDC_Midwest"""
72,2,"""NDC_Southeast""","""NDC_Midwest"""
73,2,"""NDC_Southwest""","""NDC_Midwest"""
74,2,"""NDC_West""","""NDC_Midwest"""
75,2,"""NDC_Midwest""","""NDC_Northeast"""
76,2,"""NDC_Southeast""","""NDC_Northeast"""
77,2,"""NDC_Southwest""","""NDC_Northeast"""
78,2,"""NDC_West""","""NDC_Northeast"""
79,2,"""NDC_Midwest""","""NDC_Southeast"""
80,2,"""NDC_Northeast""","""NDC_Southeast"""
81,2,"""NDC_Southwest""","""NDC_Southeast"""
82,2,"""NDC_West""","""NDC_Southeast"""
83,2,"""NDC_Midwest""","""NDC_Southwest"""
84,2,"""NDC_Northeast""","""NDC_Southwest"""
85,2,"""NDC_Southeast""","""NDC_Southwest"""
86,2,"""NDC_West""","""NDC_Southwest"""
87,2,"""NDC_Midwest""","""NDC_West"""
88,2,"""NDC_Northeast""","""NDC_West"""
89,2,"""NDC_Southeast""","""NDC_West"""
90,2,"""NDC_Southwest""","""NDC_West"""
91,2,"""NDC_Northeast""","""CEN_West"""
92,2,"""CEN_Northeast""","""NDC_West"""
93,2,"""CEN_Northeast""","""NDC_Southwest"""
94,2,"""CEN_Northeast""","""NDC_Southeast"""
95,2,"""CEN_Northeast""","""NDC_Midwest"""
96,2,"""CEN_South""","""NDC_Midwest"""
97,2,"""CEN_West""","""NDC_Midwest"""
98,2,"""CEN_Midwest""","""NDC_West"""
99,2,"""CEN_Midwest""","""NDC_Southwest"""
100,2,"""CEN_Midwest""","""NDC_Southeast"""
101,2,"""CEN_Midwest""","""NDC_Northeast"""
102,2,"""NDC_Northeast""","""CEN_Midwest"""
103,2,"""NDC_Southeast""","""CEN_Midwest"""
104,2,"""NDC_Southwest""","""CEN_Midwest"""
105,2,"""NDC_West""","""CEN_Midwest"""
106,2,"""NDC_Midwest""","""CEN_West"""
107,2,"""NDC_Midwest""","""CEN_South"""
108,2,"""NDC_Midwest""","""CEN_Northeast"""
109,2,"""NDC_Southeast""","""CEN_Northeast"""
110,2,"""NDC_Southwest""","""CEN_Northeast"""
111,2,"""NDC_West""","""CEN_Northeast"""
112,2,"""NDC_West""","""CEN_South"""
113,2,"""NDC_Southeast""","""CEN_West"""
114,2,"""CEN_South""","""NDC_West"""
115,2,"""CEN_West""","""NDC_Southeast"""
116,2,"""CEN_South""","""NDC_Northeast"""
117,2,"""NDC_Northeast""","""CEN_South"""
118,3,"""CEN_West""","""NDC_Northeast"""
119,3,"""CEN_Midwest""","""CEN_Northeast"""
120,3,"""CEN_South""","""CEN_Northeast"""
121,3,"""CEN_West""","""CEN_Northeast"""
122,3,"""CEN_Northeast""","""CEN_Midwest"""
123,3,"""CEN_South""","""CEN_Midwest"""
124,3,"""CEN_West""","""CEN_Midwest"""
125,3,"""CEN_Northeast""","""CEN_South"""
126,3,"""CEN_Midwest""","""CEN_South"""
127,3,"""CEN_West""","""CEN_South"""
128,3,"""CEN_Northeast""","""CEN_West"""
129,3,"""CEN_Midwest""","""CEN_West"""
130,3,"""CEN_South""","""CEN_West"""
131,3,"""NDC_Northeast""","""NDC_Midwest"""
