,pw,x1,x2
0,1,"""CEN_South""","""NDC_Southwest"""
1,1,"""NDC_Southwest""","""CEN_South"""
2,1,"""CEN_West""","""NDC_Southwest"""
3,1,"""NDC_Southwest""","""CEN_West"""
4,1,"""CEN_South""","""NDC_Northeast"""
5,1,"""NDC_Northeast""","""CEN_South"""
6,2,"""CEN_South""","""NDC_Southwest"""
7,2,"""NDC_Southwest""","""CEN_South"""
8,2,"""CEN_West""","""NDC_Southwest"""
9,2,"""NDC_Southwest""","""CEN_West"""
10,3,"""CEN_South""","""NDC_Southwest"""
11,3,"""NDC_Southwest""","""CEN_South"""
12,3,"""CEN_South""","""NDC_Northeast"""
13,3,"""NDC_Northeast""","""CEN_South"""
14,4,"""CEN_South""","""NDC_Southwest"""
15,4,"""NDC_Southwest""","""CEN_South"""
