,pw,x1
0,1,"""CEN_Northeast"""
1,1,"""CEN_Midwest"""
2,1,"""CEN_South"""
3,1,"""CEN_West"""
4,1,"""NDC_Midwest"""
5,1,"""NDC_Northeast"""
6,1,"""NDC_Southeast"""
7,1,"""NDC_Southwest"""
8,1,"""NDC_West"""
9,1,"""CEN_USA"""
10,1,"""NDC_USA"""
11,2,"""CEN_Northeast"""
12,2,"""CEN_Midwest"""
13,2,"""CEN_South"""
14,2,"""CEN_West"""
15,2,"""NDC_Midwest"""
16,2,"""NDC_Northeast"""
17,2,"""NDC_Southeast"""
18,2,"""NDC_Southwest"""
19,2,"""NDC_West"""
20,2,"""CEN_USA"""
21,2,"""NDC_USA"""
22,3,"""CEN_Northeast"""
23,3,"""CEN_Midwest"""
24,3,"""CEN_South"""
25,3,"""CEN_West"""
26,3,"""NDC_Midwest"""
27,3,"""NDC_Northeast"""
28,3,"""NDC_Southeast"""
29,3,"""NDC_Southwest"""
30,3,"""NDC_West"""
31,3,"""CEN_USA"""
32,3,"""NDC_USA"""
33,4,"""CEN_Northeast"""
34,4,"""CEN_Midwest"""
35,4,"""CEN_South"""
36,4,"""CEN_West"""
37,4,"""NDC_Midwest"""
38,4,"""NDC_Northeast"""
39,4,"""NDC_Southeast"""
40,4,"""NDC_Southwest"""
41,4,"""NDC_West"""
42,4,"""CEN_USA"""
43,4,"""NDC_USA"""
