,pw,x1,x2,x3
0,1,"""1_B""","""2_A""","""<"""
1,1,"""1_C""","""2_A""","""<"""
2,1,"""1_D""","""2_A""","""<"""
3,1,"""1_E""","""2_A""","""<"""
4,1,"""1_A""","""2_B""",""">"""
5,1,"""1_A""","""2_D""",""">"""
6,1,"""1_B""","""2_D""","""!"""
7,1,"""1_B""","""2_F""","""!"""
8,1,"""1_B""","""2_G""","""!"""
9,1,"""1_C""","""2_B""","""!"""
10,1,"""1_C""","""2_D""","""!"""
11,1,"""1_D""","""2_B""","""!"""
12,1,"""1_D""","""2_F""","""!"""
13,1,"""1_D""","""2_G""","""!"""
14,1,"""1_E""","""2_B""","""!"""
15,1,"""1_E""","""2_D""","""!"""
16,1,"""1_B""","""2_B""","""="""
17,1,"""1_D""","""2_D""","""="""
18,1,"""1_A""","""2_A""","""<"""
19,1,"""1_C""","""2_F""","""<"""
20,1,"""1_A""","""2_F""","""o"""
21,1,"""1_A""","""2_G""",""">"""
22,1,"""1_C""","""2_G""","""!"""
23,1,"""1_E""","""2_F""","""!"""
24,1,"""1_E""","""2_G""","""="""
25,2,"""1_B""","""2_A""","""<"""
26,2,"""1_C""","""2_A""","""<"""
27,2,"""1_D""","""2_A""","""<"""
28,2,"""1_E""","""2_A""","""<"""
29,2,"""1_A""","""2_B""",""">"""
30,2,"""1_A""","""2_D""",""">"""
31,2,"""1_B""","""2_D""","""!"""
32,2,"""1_B""","""2_F""","""!"""
33,2,"""1_B""","""2_G""","""!"""
34,2,"""1_C""","""2_B""","""!"""
35,2,"""1_C""","""2_D""","""!"""
36,2,"""1_D""","""2_B""","""!"""
37,2,"""1_D""","""2_F""","""!"""
38,2,"""1_D""","""2_G""","""!"""
39,2,"""1_E""","""2_B""","""!"""
40,2,"""1_E""","""2_D""","""!"""
41,2,"""1_B""","""2_B""","""="""
42,2,"""1_D""","""2_D""","""="""
43,2,"""1_A""","""2_A""","""<"""
44,2,"""1_C""","""2_F""","""<"""
45,2,"""1_A""","""2_G""","""o"""
46,2,"""1_E""","""2_F""","""o"""
47,2,"""1_E""","""2_G""","""o"""
48,2,"""1_A""","""2_F""",""">"""
49,2,"""1_C""","""2_G""","""!"""
50,3,"""1_B""","""2_A""","""<"""
51,3,"""1_C""","""2_A""","""<"""
52,3,"""1_D""","""2_A""","""<"""
53,3,"""1_E""","""2_A""","""<"""
54,3,"""1_A""","""2_B""",""">"""
55,3,"""1_A""","""2_D""",""">"""
56,3,"""1_B""","""2_D""","""!"""
57,3,"""1_B""","""2_F""","""!"""
58,3,"""1_B""","""2_G""","""!"""
59,3,"""1_C""","""2_B""","""!"""
60,3,"""1_C""","""2_D""","""!"""
61,3,"""1_D""","""2_B""","""!"""
62,3,"""1_D""","""2_F""","""!"""
63,3,"""1_D""","""2_G""","""!"""
64,3,"""1_E""","""2_B""","""!"""
65,3,"""1_E""","""2_D""","""!"""
66,3,"""1_B""","""2_B""","""="""
67,3,"""1_D""","""2_D""","""="""
68,3,"""1_A""","""2_A""","""<"""
69,3,"""1_C""","""2_F""","""<"""
70,3,"""1_A""","""2_F""","""o"""
71,3,"""1_A""","""2_G""","""o"""
72,3,"""1_E""","""2_F""","""o"""
73,3,"""1_E""","""2_G""","""o"""
74,3,"""1_C""","""2_G""","""!"""
75,4,"""1_B""","""2_A""","""<"""
