,pw,x1
0,1,"""1_B"""
1,1,"""1_C"""
2,1,"""1_D"""
3,1,"""1_E"""
4,1,"""2_B"""
5,1,"""2_D"""
6,1,"""2_F"""
7,1,"""2_G"""
8,1,"""1_A"""
9,1,"""2_A"""
10,2,"""1_B"""
11,2,"""1_C"""
12,2,"""1_D"""
13,2,"""1_E"""
14,2,"""2_B"""
15,2,"""2_D"""
16,2,"""2_F"""
17,2,"""2_G"""
18,2,"""1_A"""
19,2,"""2_A"""
20,3,"""1_B"""
21,3,"""1_C"""
22,3,"""1_D"""
23,3,"""1_E"""
24,3,"""2_B"""
25,3,"""2_D"""
26,3,"""2_F"""
27,3,"""2_G"""
28,3,"""1_A"""
29,3,"""2_A"""
30,4,"""1_B"""
31,4,"""1_C"""
32,4,"""1_D"""
33,4,"""1_E"""
34,4,"""2_B"""
35,4,"""2_D"""
36,4,"""2_F"""
37,4,"""2_G"""
38,4,"""1_A"""
39,4,"""2_A"""
40,5,"""1_B"""
41,5,"""1_C"""
42,5,"""1_D"""
43,5,"""1_E"""
44,5,"""2_B"""
45,5,"""2_D"""
46,5,"""2_F"""
47,5,"""2_G"""
48,5,"""1_A"""
49,5,"""2_A"""
50,6,"""1_B"""
51,6,"""1_C"""
52,6,"""1_D"""
53,6,"""1_E"""
54,6,"""2_B"""
55,6,"""2_D"""
56,6,"""2_F"""
57,6,"""2_G"""
58,6,"""1_A"""
59,6,"""2_A"""
60,7,"""1_B"""
61,7,"""1_C"""
62,7,"""1_D"""
63,7,"""1_E"""
64,7,"""2_B"""
65,7,"""2_D"""
66,7,"""2_F"""
67,7,"""2_G"""
68,7,"""1_A"""
69,7,"""2_A"""
