,pw,x1,x2
0,1,"""2_A""","""2_G"""
1,1,"""2_A""","""2_F"""
2,1,"""2_A""","""2_D"""
3,1,"""2_A""","""2_B"""
4,1,"""1_A""","""1_E"""
5,1,"""1_A""","""1_D"""
6,1,"""1_A""","""1_C"""
7,1,"""1_A""","""1_B"""
8,1,"""2_A""","""1_D"""
9,1,"""2_A""","""1_B"""
10,1,"""1_A""","""2_B"""
11,1,"""1_A""","""2_D"""
12,1,"""2_F""","""1_C"""
13,1,"""2_A""","""1_E"""
14,1,"""2_A""","""1_C"""
15,1,"""1_A""","""2_G"""
16,1,"""1_A""","""2_F"""
17,2,"""2_A""","""2_G"""
18,2,"""2_A""","""2_F"""
19,2,"""2_A""","""2_D"""
20,2,"""2_A""","""2_B"""
21,2,"""1_A""","""1_E"""
22,2,"""1_A""","""1_D"""
23,2,"""1_A""","""1_C"""
24,2,"""1_A""","""1_B"""
25,2,"""2_A""","""1_D"""
26,2,"""2_A""","""1_B"""
27,2,"""1_A""","""2_B"""
28,2,"""1_A""","""2_D"""
29,2,"""2_F""","""1_C"""
30,2,"""2_A""","""1_A"""
31,2,"""2_A""","""1_E"""
32,2,"""2_A""","""1_C"""
33,2,"""1_A""","""2_G"""
34,2,"""1_A""","""2_F"""
35,3,"""2_A""","""2_G"""
36,3,"""2_A""","""2_F"""
37,3,"""2_A""","""2_D"""
38,3,"""2_A""","""2_B"""
39,3,"""1_A""","""1_E"""
40,3,"""1_A""","""1_D"""
41,3,"""1_A""","""1_C"""
42,3,"""1_A""","""1_B"""
43,3,"""2_A""","""1_D"""
44,3,"""2_A""","""1_B"""
45,3,"""1_A""","""2_B"""
46,3,"""1_A""","""2_D"""
47,3,"""2_F""","""1_C"""
48,3,"""2_A""","""1_E"""
49,3,"""2_A""","""1_C"""
50,3,"""1_A""","""2_G"""
51,3,"""1_A""","""2_F"""
52,4,"""2_A""","""2_G"""
53,4,"""2_A""","""2_F"""
54,4,"""2_A""","""2_D"""
55,4,"""2_A""","""2_B"""
56,4,"""1_A""","""1_E"""
57,4,"""1_A""","""1_D"""
58,4,"""1_A""","""1_C"""
59,4,"""1_A""","""1_B"""
60,4,"""2_A""","""1_D"""
61,4,"""2_A""","""1_B"""
62,4,"""1_A""","""2_B"""
63,4,"""1_A""","""2_D"""
64,4,"""2_F""","""1_C"""
65,4,"""2_A""","""1_A"""
66,4,"""2_A""","""1_E"""
67,4,"""2_A""","""1_C"""
68,4,"""1_A""","""2_G"""
69,4,"""1_A""","""2_F"""
70,5,"""2_A""","""2_G"""
71,5,"""2_A""","""2_F"""
72,5,"""2_A""","""2_D"""
73,5,"""2_A""","""2_B"""
74,5,"""1_A""","""1_E"""
75,5,"""1_A""","""1_D"""
76,5,"""1_A""","""1_C"""
77,5,"""1_A""","""1_B"""
78,5,"""2_A""","""1_D"""
79,5,"""2_A""","""1_B"""
80,5,"""1_A""","""2_B"""
81,5,"""1_A""","""2_D"""
82,5,"""2_F""","""1_C"""
83,5,"""2_A""","""1_E"""
84,5,"""2_A""","""1_C"""
85,5,"""1_A""","""2_G"""
86,5,"""1_A""","""2_F"""
87,6,"""2_A""","""2_G"""
88,6,"""2_A""","""2_F"""
89,6,"""2_A""","""2_D"""
90,6,"""2_A""","""2_B"""
91,6,"""1_A""","""1_E"""
92,6,"""1_A""","""1_D"""
93,6,"""1_A""","""1_C"""
94,6,"""1_A""","""1_B"""
95,6,"""2_A""","""1_D"""
96,6,"""2_A""","""1_B"""
97,6,"""1_A""","""2_B"""
98,6,"""1_A""","""2_D"""
99,6,"""2_F""","""1_C"""
100,6,"""2_A""","""1_A"""
101,6,"""2_A""","""1_E"""
102,6,"""2_A""","""1_C"""
103,6,"""1_A""","""2_G"""
104,6,"""1_A""","""2_F"""
105,7,"""2_A""","""2_G"""
106,7,"""2_A""","""2_F"""
107,7,"""2_A""","""2_D"""
108,7,"""2_A""","""2_B"""
109,7,"""1_A""","""1_E"""
110,7,"""1_A""","""1_D"""
111,7,"""1_A""","""1_C"""
112,7,"""1_A""","""1_B"""
113,7,"""2_A""","""1_D"""
114,7,"""2_A""","""1_B"""
115,7,"""1_A""","""2_B"""
116,7,"""1_A""","""2_D"""
117,7,"""2_A""","""1_E"""
118,7,"""2_A""","""1_C"""
119,7,"""1_A""","""2_G"""
120,7,"""1_A""","""2_F"""
121,8,"""2_A""","""2_G"""
122,8,"""2_A""","""2_F"""
123,8,"""2_A""","""2_D"""
124,8,"""2_A""","""2_B"""
125,8,"""1_A""","""1_E"""
126,8,"""1_A""","""1_D"""
127,8,"""1_A""","""1_C"""
128,8,"""1_A""","""1_B"""
129,8,"""2_A""","""1_D"""
130,8,"""2_A""","""1_B"""
131,8,"""1_A""","""2_B"""
132,8,"""1_A""","""2_D"""
133,8,"""2_A""","""1_A"""
134,8,"""2_A""","""1_E"""
135,8,"""2_A""","""1_C"""
136,8,"""1_A""","""2_G"""
137,8,"""1_A""","""2_F"""
138,9,"""2_A""","""2_G"""
139,9,"""2_A""","""2_F"""
140,9,"""2_A""","""2_D"""
141,9,"""2_A""","""2_B"""
142,9,"""1_A""","""1_E"""
143,9,"""1_A""","""1_D"""
144,9,"""1_A""","""1_C"""
145,9,"""1_A""","""1_B"""
146,9,"""2_A""","""1_D"""
147,9,"""2_A""","""1_B"""
148,9,"""1_A""","""2_B"""
149,9,"""1_A""","""2_D"""
