,pw,x1,x2
0,1,"""PC_Beer""","""PC_Ale"""
1,1,"""PC_Beer""","""PC_Lager"""
2,1,"""PC_Ale""","""PC_MildAle"""
3,1,"""PC_Ale""","""PC_Lambic"""
4,1,"""PC_Ale""","""PC_BelgianAle"""
5,1,"""PC_Ale""","""PC_GermanAle"""
6,1,"""PC_Ale""","""PC_StoutPorter"""
7,1,"""PC_Ale""","""PC_PaleAle"""
8,1,"""PC_Lager""","""PC_GermanLager"""
9,1,"""PC_Lager""","""PC_AmericanLager"""
10,1,"""BI_Beer""","""BI_Ale"""
11,1,"""BI_Beer""","""BI_Lager"""
12,1,"""BI_Ale""","""BI_PaleAles"""
13,1,"""BI_Ale""","""BI_Stouts"""
14,1,"""BI_Ale""","""BI_Porters"""
15,1,"""BI_Ale""","""BI_Browns"""
16,1,"""BI_Ale""","""BI_Wheats"""
17,1,"""BI_Ale""","""BI_Sours"""
18,1,"""BI_Ale""","""BI_Belgians"""
19,1,"""BI_Lager""","""BI_Bocks"""
20,1,"""BI_Lager""","""BI_PaleLagers"""
