,pw,x1,x2
0,1,"""PC_Ale""","""BI_Bocks"""
1,1,"""PC_Ale""","""BI_Lager"""
2,1,"""PC_Ale""","""BI_PaleLagers"""
3,1,"""PC_Lager""","""BI_PaleAles"""
4,1,"""PC_Lager""","""BI_Ale"""
5,1,"""PC_Lager""","""BI_Stouts"""
6,1,"""PC_Lager""","""BI_Porters"""
7,1,"""PC_Lager""","""BI_Browns"""
8,1,"""PC_Lager""","""BI_Wheats"""
9,1,"""PC_Lager""","""BI_Sours"""
10,1,"""PC_Lager""","""BI_Belgians"""
11,1,"""PC_MildAle""","""BI_PaleAles"""
12,1,"""PC_MildAle""","""BI_Stouts"""
13,1,"""PC_MildAle""","""BI_Porters"""
14,1,"""PC_MildAle""","""BI_Wheats"""
15,1,"""PC_MildAle""","""BI_Sours"""
16,1,"""PC_MildAle""","""BI_Belgians"""
17,1,"""PC_MildAle""","""BI_Bocks"""
18,1,"""PC_MildAle""","""BI_Lager"""
19,1,"""PC_MildAle""","""BI_PaleLagers"""
20,1,"""PC_Lambic""","""BI_PaleAles"""
21,1,"""PC_Lambic""","""BI_Stouts"""
22,1,"""PC_Lambic""","""BI_Porters"""
23,1,"""PC_Lambic""","""BI_Browns"""
24,1,"""PC_Lambic""","""BI_Wheats"""
25,1,"""PC_Lambic""","""BI_Bocks"""
26,1,"""PC_Lambic""","""BI_Lager"""
27,1,"""PC_Lambic""","""BI_PaleLagers"""
28,1,"""PC_BelgianAle""","""BI_PaleAles"""
29,1,"""PC_BelgianAle""","""BI_Stouts"""
30,1,"""PC_BelgianAle""","""BI_Porters"""
31,1,"""PC_BelgianAle""","""BI_Browns"""
32,1,"""PC_BelgianAle""","""BI_Sours"""
33,1,"""PC_BelgianAle""","""BI_Bocks"""
34,1,"""PC_BelgianAle""","""BI_Lager"""
35,1,"""PC_BelgianAle""","""BI_PaleLagers"""
36,1,"""PC_GermanAle""","""BI_PaleAles"""
37,1,"""PC_GermanAle""","""BI_Stouts"""
38,1,"""PC_GermanAle""","""BI_Porters"""
39,1,"""PC_GermanAle""","""BI_Browns"""
40,1,"""PC_GermanAle""","""BI_Sours"""
41,1,"""PC_GermanAle""","""BI_Belgians"""
42,1,"""PC_GermanAle""","""BI_Bocks"""
43,1,"""PC_GermanAle""","""BI_Lager"""
44,1,"""PC_GermanAle""","""BI_PaleLagers"""
45,1,"""PC_StoutPorter""","""BI_PaleAles"""
46,1,"""PC_StoutPorter""","""BI_Browns"""
47,1,"""PC_StoutPorter""","""BI_Wheats"""
48,1,"""PC_StoutPorter""","""BI_Sours"""
49,1,"""PC_StoutPorter""","""BI_Belgians"""
50,1,"""PC_StoutPorter""","""BI_Bocks"""
51,1,"""PC_StoutPorter""","""BI_Lager"""
52,1,"""PC_StoutPorter""","""BI_PaleLagers"""
53,1,"""PC_PaleAle""","""BI_Stouts"""
54,1,"""PC_PaleAle""","""BI_Porters"""
55,1,"""PC_PaleAle""","""BI_Browns"""
56,1,"""PC_PaleAle""","""BI_Wheats"""
57,1,"""PC_PaleAle""","""BI_Sours"""
58,1,"""PC_PaleAle""","""BI_Belgians"""
59,1,"""PC_PaleAle""","""BI_Bocks"""
60,1,"""PC_PaleAle""","""BI_Lager"""
61,1,"""PC_PaleAle""","""BI_PaleLagers"""
62,1,"""PC_GermanLager""","""BI_PaleAles"""
63,1,"""PC_GermanLager""","""BI_Ale"""
64,1,"""PC_GermanLager""","""BI_Stouts"""
65,1,"""PC_GermanLager""","""BI_Porters"""
66,1,"""PC_GermanLager""","""BI_Browns"""
67,1,"""PC_GermanLager""","""BI_Wheats"""
68,1,"""PC_GermanLager""","""BI_Sours"""
69,1,"""PC_GermanLager""","""BI_Belgians"""
70,1,"""PC_AmericanLager""","""BI_PaleAles"""
71,1,"""PC_AmericanLager""","""BI_Ale"""
72,1,"""PC_AmericanLager""","""BI_Stouts"""
73,1,"""PC_AmericanLager""","""BI_Porters"""
74,1,"""PC_AmericanLager""","""BI_Browns"""
75,1,"""PC_AmericanLager""","""BI_Wheats"""
76,1,"""PC_AmericanLager""","""BI_Sours"""
77,1,"""PC_AmericanLager""","""BI_Belgians"""
78,1,"""PC_AmericanLager""","""BI_Bocks"""
