,pw,x1,x2
0,1,"""PC_Ale""","""PC_Beer"""
1,1,"""PC_Lager""","""PC_Beer"""
2,1,"""PC_MildAle""","""PC_Ale"""
3,1,"""PC_Lambic""","""PC_Ale"""
4,1,"""PC_BelgianAle""","""PC_Ale"""
5,1,"""PC_GermanAle""","""PC_Ale"""
6,1,"""PC_StoutPorter""","""PC_Ale"""
7,1,"""PC_PaleAle""","""PC_Ale"""
8,1,"""PC_GermanLager""","""PC_Lager"""
9,1,"""PC_AmericanLager""","""PC_Lager"""
10,1,"""BI_Ale""","""BI_Beer"""
11,1,"""BI_Lager""","""BI_Beer"""
12,1,"""BI_PaleAles""","""BI_Ale"""
13,1,"""BI_Stouts""","""BI_Ale"""
14,1,"""BI_Porters""","""BI_Ale"""
15,1,"""BI_Browns""","""BI_Ale"""
16,1,"""BI_Wheats""","""BI_Ale"""
17,1,"""BI_Sours""","""BI_Ale"""
18,1,"""BI_Belgians""","""BI_Ale"""
19,1,"""BI_Bocks""","""BI_Lager"""
20,1,"""BI_PaleLagers""","""BI_Lager"""
21,1,"""PC_Ale""","""BI_Beer"""
22,1,"""PC_Lager""","""BI_Beer"""
23,1,"""PC_MildAle""","""BI_Beer"""
24,1,"""PC_MildAle""","""BI_Ale"""
25,1,"""PC_Lambic""","""BI_Beer"""
26,1,"""PC_Lambic""","""BI_Ale"""
27,1,"""PC_BelgianAle""","""BI_Beer"""
28,1,"""PC_BelgianAle""","""BI_Ale"""
29,1,"""PC_GermanAle""","""BI_Beer"""
30,1,"""PC_GermanAle""","""BI_Ale"""
31,1,"""PC_GermanAle""","""BI_Wheats"""
32,1,"""PC_StoutPorter""","""BI_Beer"""
33,1,"""PC_StoutPorter""","""BI_Ale"""
34,1,"""PC_PaleAle""","""BI_Beer"""
35,1,"""PC_PaleAle""","""BI_Ale"""
36,1,"""PC_GermanLager""","""BI_Beer"""
37,1,"""PC_GermanLager""","""BI_Lager"""
38,1,"""PC_AmericanLager""","""BI_Beer"""
39,1,"""PC_AmericanLager""","""BI_Lager"""
40,1,"""PC_AmericanLager""","""BI_PaleLagers"""
41,1,"""BI_PaleAles""","""PC_Beer"""
42,1,"""BI_Ale""","""PC_Beer"""
43,1,"""BI_Stouts""","""PC_Beer"""
44,1,"""BI_Porters""","""PC_Beer"""
45,1,"""BI_Browns""","""PC_Beer"""
46,1,"""BI_Wheats""","""PC_Beer"""
47,1,"""BI_Sours""","""PC_Beer"""
48,1,"""BI_Belgians""","""PC_Beer"""
49,1,"""BI_Bocks""","""PC_Beer"""
50,1,"""BI_Lager""","""PC_Beer"""
51,1,"""BI_PaleLagers""","""PC_Beer"""
52,1,"""BI_PaleAles""","""PC_Ale"""
53,1,"""BI_Stouts""","""PC_Ale"""
54,1,"""BI_Porters""","""PC_Ale"""
55,1,"""BI_Browns""","""PC_Ale"""
56,1,"""BI_Wheats""","""PC_Ale"""
57,1,"""BI_Sours""","""PC_Ale"""
58,1,"""BI_Belgians""","""PC_Ale"""
59,1,"""BI_Bocks""","""PC_Lager"""
60,1,"""BI_PaleLagers""","""PC_Lager"""
61,1,"""BI_Sours""","""PC_Lambic"""
62,1,"""BI_Stouts""","""PC_StoutPorter"""
63,1,"""BI_Porters""","""PC_StoutPorter"""
64,1,"""BI_Bocks""","""PC_GermanLager"""
