,pw,x1
0,1,"""PC_Ale"""
1,1,"""PC_Lager"""
2,1,"""PC_MildAle"""
3,1,"""PC_Lambic"""
4,1,"""PC_BelgianAle"""
5,1,"""PC_GermanAle"""
6,1,"""PC_StoutPorter"""
7,1,"""PC_PaleAle"""
8,1,"""PC_GermanLager"""
9,1,"""PC_AmericanLager"""
10,1,"""BI_Ale"""
11,1,"""BI_Lager"""
12,1,"""BI_PaleAles"""
13,1,"""BI_Stouts"""
14,1,"""BI_Porters"""
15,1,"""BI_Browns"""
16,1,"""BI_Wheats"""
17,1,"""BI_Sours"""
18,1,"""BI_Belgians"""
19,1,"""BI_Bocks"""
20,1,"""BI_PaleLagers"""
21,1,"""PC_Beer"""
22,1,"""BI_Beer"""
