,pw,x1,x2
0,1,4,g
1,1,1,b
2,1,2,g
3,1,3,r
4,2,4,g
5,2,1,y
6,2,2,g
7,2,3,r
8,3,4,b
9,3,1,y
10,3,2,g
11,3,3,r
12,4,1,b
13,4,4,y
14,4,2,g
15,4,3,r
16,5,1,g
17,5,4,y
18,5,2,b
19,5,3,r
20,6,4,g
21,6,1,y
22,6,2,b
23,6,3,r
24,7,1,g
25,7,4,b
26,7,2,b
27,7,3,r
28,8,4,b
29,8,1,y
30,8,2,b
31,8,3,r
32,9,4,g
33,9,1,b
34,9,2,y
35,9,3,r
36,10,1,g
37,10,4,y
38,10,2,y
39,10,3,r
40,11,1,b
41,11,4,y
42,11,2,y
43,11,3,r
44,12,1,g
45,12,4,b
46,12,2,y
47,12,3,r
48,13,4,r
49,13,1,g
50,13,2,r
51,13,3,g
52,14,1,g
53,14,4,b
54,14,2,r
55,14,3,g
56,15,1,g
57,15,4,y
58,15,2,r
59,15,3,g
60,16,4,r
61,16,1,g
62,16,2,y
63,16,3,g
64,17,1,g
65,17,4,y
66,17,2,y
67,17,3,g
68,18,1,g
69,18,4,b
70,18,2,y
71,18,3,g
72,19,4,r
73,19,1,y
74,19,2,r
75,19,3,g
76,20,4,b
77,20,1,y
78,20,2,r
79,20,3,g
80,21,4,r
81,21,1,g
82,21,2,b
83,21,3,g
84,22,4,r
85,22,1,y
86,22,2,b
87,22,3,g
88,23,1,g
89,23,4,y
90,23,2,b
91,23,3,g
92,24,1,g
93,24,4,b
94,24,2,b
95,24,3,g
96,25,4,b
97,25,1,y
98,25,2,b
99,25,3,g
100,26,4,r
101,26,1,b
102,26,2,r
103,26,3,g
104,27,1,b
105,27,4,y
106,27,2,r
107,27,3,g
108,28,4,r
109,28,1,b
110,28,2,y
111,28,3,g
112,29,1,b
113,29,4,y
114,29,2,y
115,29,3,g
116,30,4,r
117,30,1,g
118,30,2,y
119,30,3,b
120,31,4,r
121,31,1,g
122,31,2,r
123,31,3,b
124,32,4,r
125,32,1,b
126,32,2,y
127,32,3,b
128,33,4,g
129,33,1,b
130,33,2,y
131,33,3,b
132,34,4,r
133,34,1,b
134,34,2,g
135,34,3,b
136,35,4,g
137,35,1,b
138,35,2,g
139,35,3,b
140,36,4,r
141,36,1,b
142,36,2,r
143,36,3,b
144,37,4,g
145,37,1,b
146,37,2,r
147,37,3,b
148,38,4,r
149,38,1,y
150,38,2,g
151,38,3,b
152,39,4,r
153,39,1,y
154,39,2,r
155,39,3,b
156,40,4,g
157,40,1,y
158,40,2,g
159,40,3,b
160,41,4,g
161,41,1,y
162,41,2,r
163,41,3,b
164,42,1,g
165,42,4,y
166,42,2,y
167,42,3,b
168,43,1,b
169,43,4,y
170,43,2,g
171,43,3,b
172,44,1,b
173,44,4,y
174,44,2,y
175,44,3,b
176,45,1,g
177,45,4,y
178,45,2,r
179,45,3,b
180,46,1,b
181,46,4,y
182,46,2,r
183,46,3,b
184,47,4,r
185,47,1,g
186,47,2,r
187,47,3,y
188,48,4,r
189,48,1,g
190,48,2,b
191,48,3,y
192,49,1,g
193,49,4,b
194,49,2,r
195,49,3,y
196,50,1,g
197,50,4,b
198,50,2,b
199,50,3,y
200,51,4,r
201,51,1,y
202,51,2,g
203,51,3,y
204,52,4,r
205,52,1,y
206,52,2,r
207,52,3,y
208,53,4,b
209,53,1,y
210,53,2,g
211,53,3,y
212,54,4,b
213,54,1,y
214,54,2,r
215,54,3,y
216,55,4,r
217,55,1,y
218,55,2,b
219,55,3,y
220,56,4,b
221,56,1,y
222,56,2,b
223,56,3,y
224,57,4,g
225,57,1,y
226,57,2,g
227,57,3,y
228,58,4,g
229,58,1,y
230,58,2,b
231,58,3,y
232,59,4,g
233,59,1,y
234,59,2,r
235,59,3,y
236,60,4,r
237,60,1,b
238,60,2,g
239,60,3,y
240,61,4,g
241,61,1,b
242,61,2,g
243,61,3,y
244,62,4,r
245,62,1,b
246,62,2,r
247,62,3,y
248,63,4,g
249,63,1,b
250,63,2,r
251,63,3,y
252,64,1,r
253,64,4,b
254,64,2,b
255,64,3,g
256,65,1,r
257,65,4,b
258,65,2,b
259,65,3,y
260,66,1,r
261,66,4,b
262,66,2,g
263,66,3,y
264,67,1,r
265,67,4,b
266,67,2,y
267,67,3,g
268,68,1,r
269,68,4,y
270,68,2,y
271,68,3,b
272,69,1,r
273,69,4,y
274,69,2,b
275,69,3,g
276,70,1,r
277,70,4,y
278,70,2,y
279,70,3,g
280,71,1,r
281,71,4,y
282,71,2,g
283,71,3,b
284,72,1,r
285,72,4,y
286,72,2,b
287,72,3,r
288,73,1,r
289,73,4,y
290,73,2,g
291,73,3,r
292,74,1,r
293,74,4,b
294,74,2,b
295,74,3,r
296,75,1,r
297,75,4,b
298,75,2,g
299,75,3,r
300,76,1,r
301,76,4,b
302,76,2,y
303,76,3,r
304,77,1,r
305,77,4,y
306,77,2,y
307,77,3,r
308,78,1,r
309,78,4,g
310,78,2,y
311,78,3,b
312,79,1,r
313,79,4,g
314,79,2,g
315,79,3,b
316,80,1,r
317,80,4,g
318,80,2,b
319,80,3,r
320,81,1,r
321,81,4,g
322,81,2,y
323,81,3,r
324,82,1,r
325,82,4,g
326,82,2,g
327,82,3,r
328,83,1,r
329,83,4,g
330,83,2,b
331,83,3,y
332,84,1,r
333,84,4,g
334,84,2,g
335,84,3,y
