,pw,x1,x2
0,1,"""CEN_Northeast""","""CEN_USA"""
1,1,"""CEN_Midwest""","""CEN_USA"""
2,1,"""CEN_South""","""CEN_USA"""
3,1,"""CEN_West""","""CEN_USA"""
4,1,"""CEN_CT""","""CEN_Northeast"""
5,1,"""CEN_MA""","""CEN_Northeast"""
6,1,"""CEN_ME""","""CEN_Northeast"""
7,1,"""CEN_NH""","""CEN_Northeast"""
8,1,"""CEN_NJ""","""CEN_Northeast"""
9,1,"""CEN_NY""","""CEN_Northeast"""
10,1,"""CEN_PA""","""CEN_Northeast"""
11,1,"""CEN_RI""","""CEN_Northeast"""
12,1,"""CEN_VT""","""CEN_Northeast"""
13,1,"""CEN_IL""","""CEN_Midwest"""
14,1,"""CEN_IN""","""CEN_Midwest"""
15,1,"""CEN_IA""","""CEN_Midwest"""
16,1,"""CEN_KS""","""CEN_Midwest"""
17,1,"""CEN_MI""","""CEN_Midwest"""
18,1,"""CEN_MN""","""CEN_Midwest"""
19,1,"""CEN_MO""","""CEN_Midwest"""
20,1,"""CEN_NE""","""CEN_Midwest"""
21,1,"""CEN_ND""","""CEN_Midwest"""
22,1,"""CEN_OH""","""CEN_Midwest"""
23,1,"""CEN_SD""","""CEN_Midwest"""
24,1,"""CEN_WI""","""CEN_Midwest"""
25,1,"""CEN_AL""","""CEN_South"""
26,1,"""CEN_AR""","""CEN_South"""
27,1,"""CEN_DE""","""CEN_South"""
28,1,"""CEN_DC""","""CEN_South"""
29,1,"""CEN_FL""","""CEN_South"""
30,1,"""CEN_GA""","""CEN_South"""
31,1,"""CEN_KY""","""CEN_South"""
32,1,"""CEN_LA""","""CEN_South"""
33,1,"""CEN_MD""","""CEN_South"""
34,1,"""CEN_MS""","""CEN_South"""
35,1,"""CEN_NC""","""CEN_South"""
36,1,"""CEN_OK""","""CEN_South"""
37,1,"""CEN_SC""","""CEN_South"""
38,1,"""CEN_TN""","""CEN_South"""
39,1,"""CEN_TX""","""CEN_South"""
40,1,"""CEN_VA""","""CEN_South"""
41,1,"""CEN_WV""","""CEN_South"""
42,1,"""CEN_AZ""","""CEN_West"""
43,1,"""CEN_CA""","""CEN_West"""
44,1,"""CEN_CO""","""CEN_West"""
45,1,"""CEN_ID""","""CEN_West"""
46,1,"""CEN_MT""","""CEN_West"""
47,1,"""CEN_NV""","""CEN_West"""
48,1,"""CEN_NM""","""CEN_West"""
49,1,"""CEN_OR""","""CEN_West"""
50,1,"""CEN_UT""","""CEN_West"""
51,1,"""CEN_WA""","""CEN_West"""
52,1,"""CEN_WY""","""CEN_West"""
53,1,"""NDC_Midwest""","""NDC_USA"""
54,1,"""NDC_Northeast""","""NDC_USA"""
55,1,"""NDC_Southeast""","""NDC_USA"""
56,1,"""NDC_Southwest""","""NDC_USA"""
57,1,"""NDC_West""","""NDC_USA"""
58,1,"""NDC_IA""","""NDC_Midwest"""
59,1,"""NDC_IL""","""NDC_Midwest"""
60,1,"""NDC_IN""","""NDC_Midwest"""
61,1,"""NDC_KS""","""NDC_Midwest"""
62,1,"""NDC_MI""","""NDC_Midwest"""
63,1,"""NDC_MN""","""NDC_Midwest"""
64,1,"""NDC_MO""","""NDC_Midwest"""
65,1,"""NDC_ND""","""NDC_Midwest"""
66,1,"""NDC_NE""","""NDC_Midwest"""
67,1,"""NDC_OH""","""NDC_Midwest"""
68,1,"""NDC_SD""","""NDC_Midwest"""
69,1,"""NDC_WI""","""NDC_Midwest"""
70,1,"""NDC_CT""","""NDC_Northeast"""
71,1,"""NDC_DC""","""NDC_Northeast"""
72,1,"""NDC_DE""","""NDC_Northeast"""
73,1,"""NDC_MD""","""NDC_Northeast"""
74,1,"""NDC_MA""","""NDC_Northeast"""
75,1,"""NDC_ME""","""NDC_Northeast"""
76,1,"""NDC_NH""","""NDC_Northeast"""
77,1,"""NDC_NJ""","""NDC_Northeast"""
78,1,"""NDC_NY""","""NDC_Northeast"""
79,1,"""NDC_PA""","""NDC_Northeast"""
80,1,"""NDC_RI""","""NDC_Northeast"""
81,1,"""NDC_VT""","""NDC_Northeast"""
82,1,"""NDC_AL""","""NDC_Southeast"""
83,1,"""NDC_AR""","""NDC_Southeast"""
84,1,"""NDC_FL""","""NDC_Southeast"""
85,1,"""NDC_GA""","""NDC_Southeast"""
86,1,"""NDC_KY""","""NDC_Southeast"""
87,1,"""NDC_LA""","""NDC_Southeast"""
88,1,"""NDC_MS""","""NDC_Southeast"""
89,1,"""NDC_NC""","""NDC_Southeast"""
90,1,"""NDC_SC""","""NDC_Southeast"""
91,1,"""NDC_TN""","""NDC_Southeast"""
92,1,"""NDC_VA""","""NDC_Southeast"""
93,1,"""NDC_WV""","""NDC_Southeast"""
94,1,"""NDC_AZ""","""NDC_Southwest"""
95,1,"""NDC_NM""","""NDC_Southwest"""
96,1,"""NDC_OK""","""NDC_Southwest"""
97,1,"""NDC_TX""","""NDC_Southwest"""
98,1,"""NDC_CA""","""NDC_West"""
99,1,"""NDC_CO""","""NDC_West"""
100,1,"""NDC_ID""","""NDC_West"""
101,1,"""NDC_MT""","""NDC_West"""
102,1,"""NDC_NV""","""NDC_West"""
103,1,"""NDC_OR""","""NDC_West"""
104,1,"""NDC_WA""","""NDC_West"""
105,1,"""NDC_WY""","""NDC_West"""
106,1,"""NDC_UT""","""NDC_West"""
107,1,"""CEN_Northeast""","""NDC_USA"""
108,1,"""CEN_Northeast""","""NDC_Northeast"""
109,1,"""CEN_Midwest""","""NDC_USA"""
110,1,"""CEN_South""","""NDC_USA"""
111,1,"""CEN_West""","""NDC_USA"""
112,1,"""CEN_CT""","""NDC_USA"""
113,1,"""CEN_CT""","""NDC_Northeast"""
114,1,"""CEN_MA""","""NDC_USA"""
115,1,"""CEN_MA""","""NDC_Northeast"""
116,1,"""CEN_ME""","""NDC_USA"""
117,1,"""CEN_ME""","""NDC_Northeast"""
118,1,"""CEN_NH""","""NDC_USA"""
119,1,"""CEN_NH""","""NDC_Northeast"""
120,1,"""CEN_NJ""","""NDC_USA"""
121,1,"""CEN_NJ""","""NDC_Northeast"""
122,1,"""CEN_NY""","""NDC_USA"""
123,1,"""CEN_NY""","""NDC_Northeast"""
124,1,"""CEN_PA""","""NDC_USA"""
125,1,"""CEN_PA""","""NDC_Northeast"""
126,1,"""CEN_RI""","""NDC_USA"""
127,1,"""CEN_RI""","""NDC_Northeast"""
128,1,"""CEN_VT""","""NDC_USA"""
129,1,"""CEN_VT""","""NDC_Northeast"""
130,1,"""CEN_IL""","""NDC_USA"""
131,1,"""CEN_IL""","""NDC_Midwest"""
132,1,"""CEN_IN""","""NDC_USA"""
133,1,"""CEN_IN""","""NDC_Midwest"""
134,1,"""CEN_IA""","""NDC_USA"""
135,1,"""CEN_IA""","""NDC_Midwest"""
136,1,"""CEN_KS""","""NDC_USA"""
137,1,"""CEN_KS""","""NDC_Midwest"""
138,1,"""CEN_MI""","""NDC_USA"""
139,1,"""CEN_MI""","""NDC_Midwest"""
140,1,"""CEN_MN""","""NDC_USA"""
