,pw,x1
0,1,"""CEN_Northeast"""
1,1,"""CEN_Midwest"""
2,1,"""CEN_South"""
3,1,"""CEN_West"""
4,1,"""CEN_CT"""
5,1,"""CEN_MA"""
6,1,"""CEN_ME"""
7,1,"""CEN_NH"""
8,1,"""CEN_NJ"""
9,1,"""CEN_NY"""
10,1,"""CEN_PA"""
11,1,"""CEN_RI"""
12,1,"""CEN_VT"""
13,1,"""CEN_IL"""
14,1,"""CEN_IN"""
15,1,"""CEN_IA"""
16,1,"""CEN_KS"""
17,1,"""CEN_MI"""
18,1,"""CEN_MN"""
19,1,"""CEN_MO"""
20,1,"""CEN_NE"""
21,1,"""CEN_ND"""
22,1,"""CEN_OH"""
23,1,"""CEN_SD"""
24,1,"""CEN_WI"""
25,1,"""CEN_AL"""
26,1,"""CEN_AR"""
27,1,"""CEN_DE"""
28,1,"""CEN_DC"""
29,1,"""CEN_FL"""
30,1,"""CEN_GA"""
31,1,"""CEN_KY"""
32,1,"""CEN_LA"""
33,1,"""CEN_MD"""
34,1,"""CEN_MS"""
35,1,"""CEN_NC"""
36,1,"""CEN_OK"""
37,1,"""CEN_SC"""
38,1,"""CEN_TN"""
39,1,"""CEN_TX"""
40,1,"""CEN_VA"""
41,1,"""CEN_WV"""
42,1,"""CEN_AZ"""
43,1,"""CEN_CA"""
44,1,"""CEN_CO"""
45,1,"""CEN_ID"""
46,1,"""CEN_MT"""
47,1,"""CEN_NV"""
48,1,"""CEN_NM"""
49,1,"""CEN_OR"""
50,1,"""CEN_UT"""
51,1,"""CEN_WA"""
52,1,"""CEN_WY"""
53,1,"""NDC_Midwest"""
54,1,"""NDC_Northeast"""
55,1,"""NDC_Southeast"""
56,1,"""NDC_Southwest"""
57,1,"""NDC_West"""
58,1,"""NDC_IA"""
59,1,"""NDC_IL"""
60,1,"""NDC_IN"""
61,1,"""NDC_KS"""
62,1,"""NDC_MI"""
63,1,"""NDC_MN"""
64,1,"""NDC_MO"""
65,1,"""NDC_ND"""
66,1,"""NDC_NE"""
67,1,"""NDC_OH"""
68,1,"""NDC_SD"""
69,1,"""NDC_WI"""
70,1,"""NDC_CT"""
71,1,"""NDC_DC"""
72,1,"""NDC_DE"""
73,1,"""NDC_MD"""
74,1,"""NDC_MA"""
75,1,"""NDC_ME"""
76,1,"""NDC_NH"""
77,1,"""NDC_NJ"""
78,1,"""NDC_NY"""
79,1,"""NDC_PA"""
80,1,"""NDC_RI"""
81,1,"""NDC_VT"""
82,1,"""NDC_AL"""
83,1,"""NDC_AR"""
84,1,"""NDC_FL"""
85,1,"""NDC_GA"""
86,1,"""NDC_KY"""
87,1,"""NDC_LA"""
88,1,"""NDC_MS"""
89,1,"""NDC_NC"""
90,1,"""NDC_SC"""
91,1,"""NDC_TN"""
92,1,"""NDC_VA"""
93,1,"""NDC_WV"""
94,1,"""NDC_AZ"""
95,1,"""NDC_NM"""
96,1,"""NDC_OK"""
97,1,"""NDC_TX"""
98,1,"""NDC_CA"""
99,1,"""NDC_CO"""
100,1,"""NDC_ID"""
101,1,"""NDC_MT"""
102,1,"""NDC_NV"""
103,1,"""NDC_OR"""
104,1,"""NDC_WA"""
105,1,"""NDC_WY"""
106,1,"""NDC_UT"""
107,1,"""CEN_USA"""
108,1,"""NDC_USA"""
