,pw,x1,x2
0,1,"""CEN_USA""","""NDC_USA"""
1,1,"""CEN_Midwest""","""NDC_Midwest"""
2,1,"""NDC_Midwest""","""CEN_Midwest"""
3,1,"""NDC_USA""","""CEN_USA"""
4,1,"""NDC_USA""","""NDC_USA"""
5,1,"""CEN_USA""","""CEN_USA"""
6,1,"""NDC_West""","""NDC_West"""
7,1,"""NDC_Southwest""","""NDC_Southwest"""
8,1,"""NDC_Southeast""","""NDC_Southeast"""
9,1,"""NDC_Northeast""","""NDC_Northeast"""
10,1,"""NDC_Midwest""","""NDC_Midwest"""
11,1,"""CEN_West""","""CEN_West"""
12,1,"""CEN_South""","""CEN_South"""
13,1,"""CEN_Midwest""","""CEN_Midwest"""
14,1,"""CEN_Northeast""","""CEN_Northeast"""
15,2,"""CEN_USA""","""NDC_USA"""
16,2,"""CEN_Midwest""","""NDC_Midwest"""
17,2,"""NDC_Midwest""","""CEN_Midwest"""
18,2,"""NDC_USA""","""CEN_USA"""
19,2,"""NDC_USA""","""NDC_USA"""
20,2,"""CEN_USA""","""CEN_USA"""
21,2,"""NDC_West""","""NDC_West"""
22,2,"""NDC_Southwest""","""NDC_Southwest"""
23,2,"""NDC_Southeast""","""NDC_Southeast"""
24,2,"""NDC_Northeast""","""NDC_Northeast"""
25,2,"""NDC_Midwest""","""NDC_Midwest"""
26,2,"""CEN_West""","""CEN_West"""
27,2,"""CEN_South""","""CEN_South"""
28,2,"""CEN_Midwest""","""CEN_Midwest"""
29,2,"""CEN_Northeast""","""CEN_Northeast"""
30,3,"""CEN_USA""","""NDC_USA"""
31,3,"""CEN_Midwest""","""NDC_Midwest"""
32,3,"""NDC_Midwest""","""CEN_Midwest"""
33,3,"""NDC_USA""","""CEN_USA"""
34,3,"""NDC_USA""","""NDC_USA"""
35,3,"""CEN_USA""","""CEN_USA"""
36,3,"""NDC_West""","""NDC_West"""
37,3,"""NDC_Southwest""","""NDC_Southwest"""
38,3,"""NDC_Southeast""","""NDC_Southeast"""
39,3,"""NDC_Northeast""","""NDC_Northeast"""
40,3,"""NDC_Midwest""","""NDC_Midwest"""
41,3,"""CEN_West""","""CEN_West"""
42,3,"""CEN_South""","""CEN_South"""
43,3,"""CEN_Midwest""","""CEN_Midwest"""
44,3,"""CEN_Northeast""","""CEN_Northeast"""
45,4,"""CEN_USA""","""NDC_USA"""
46,4,"""CEN_Midwest""","""NDC_Midwest"""
47,4,"""NDC_Midwest""","""CEN_Midwest"""
48,4,"""NDC_USA""","""CEN_USA"""
49,4,"""NDC_USA""","""NDC_USA"""
50,4,"""CEN_USA""","""CEN_USA"""
51,4,"""NDC_West""","""NDC_West"""
52,4,"""NDC_Southwest""","""NDC_Southwest"""
53,4,"""NDC_Southeast""","""NDC_Southeast"""
54,4,"""NDC_Northeast""","""NDC_Northeast"""
55,4,"""NDC_Midwest""","""NDC_Midwest"""
56,4,"""CEN_West""","""CEN_West"""
57,4,"""CEN_South""","""CEN_South"""
58,4,"""CEN_Midwest""","""CEN_Midwest"""
59,4,"""CEN_Northeast""","""CEN_Northeast"""
