,pw,x1,x2
0,1,"""CEN_West""","""NDC_West"""
1,1,"""CEN_South""","""NDC_Southeast"""
2,1,"""NDC_USA""","""NDC_West"""
3,1,"""NDC_USA""","""NDC_Southwest"""
4,1,"""NDC_USA""","""NDC_Southeast"""
5,1,"""NDC_USA""","""NDC_Northeast"""
6,1,"""NDC_USA""","""NDC_Midwest"""
7,1,"""CEN_USA""","""CEN_West"""
8,1,"""CEN_USA""","""CEN_South"""
9,1,"""CEN_USA""","""CEN_Midwest"""
10,1,"""CEN_USA""","""CEN_Northeast"""
11,1,"""NDC_Northeast""","""CEN_Northeast"""
12,1,"""NDC_USA""","""CEN_West"""
13,1,"""NDC_USA""","""CEN_South"""
14,1,"""NDC_USA""","""CEN_Midwest"""
15,1,"""NDC_USA""","""CEN_Northeast"""
16,1,"""CEN_USA""","""NDC_Southeast"""
17,1,"""CEN_USA""","""NDC_West"""
18,1,"""CEN_USA""","""NDC_Midwest"""
19,1,"""CEN_USA""","""NDC_Northeast"""
20,1,"""CEN_USA""","""NDC_Southwest"""
21,2,"""CEN_West""","""NDC_West"""
22,2,"""CEN_South""","""NDC_Southeast"""
23,2,"""NDC_USA""","""NDC_West"""
24,2,"""NDC_USA""","""NDC_Southwest"""
25,2,"""NDC_USA""","""NDC_Southeast"""
26,2,"""NDC_USA""","""NDC_Northeast"""
27,2,"""NDC_USA""","""NDC_Midwest"""
28,2,"""CEN_USA""","""CEN_West"""
29,2,"""CEN_USA""","""CEN_South"""
30,2,"""CEN_USA""","""CEN_Midwest"""
31,2,"""CEN_USA""","""CEN_Northeast"""
32,2,"""NDC_Northeast""","""CEN_Northeast"""
33,2,"""NDC_USA""","""CEN_West"""
34,2,"""NDC_USA""","""CEN_South"""
35,2,"""NDC_USA""","""CEN_Midwest"""
36,2,"""NDC_USA""","""CEN_Northeast"""
37,2,"""CEN_USA""","""NDC_Southeast"""
38,2,"""CEN_USA""","""NDC_West"""
39,2,"""CEN_USA""","""NDC_Midwest"""
40,2,"""CEN_USA""","""NDC_Northeast"""
41,2,"""CEN_USA""","""NDC_Southwest"""
42,3,"""CEN_West""","""NDC_West"""
43,3,"""CEN_South""","""NDC_Southeast"""
44,3,"""NDC_USA""","""NDC_West"""
45,3,"""NDC_USA""","""NDC_Southwest"""
46,3,"""NDC_USA""","""NDC_Southeast"""
47,3,"""NDC_USA""","""NDC_Northeast"""
48,3,"""NDC_USA""","""NDC_Midwest"""
49,3,"""CEN_USA""","""CEN_West"""
50,3,"""CEN_USA""","""CEN_South"""
51,3,"""CEN_USA""","""CEN_Midwest"""
52,3,"""CEN_USA""","""CEN_Northeast"""
53,3,"""NDC_Northeast""","""CEN_Northeast"""
54,3,"""NDC_USA""","""CEN_West"""
55,3,"""NDC_USA""","""CEN_South"""
56,3,"""NDC_USA""","""CEN_Midwest"""
57,3,"""NDC_USA""","""CEN_Northeast"""
58,3,"""CEN_USA""","""NDC_Southeast"""
59,3,"""CEN_USA""","""NDC_West"""
60,3,"""CEN_USA""","""NDC_Midwest"""
61,3,"""CEN_USA""","""NDC_Northeast"""
62,3,"""CEN_USA""","""NDC_Southwest"""
63,4,"""CEN_West""","""NDC_West"""
64,4,"""CEN_South""","""NDC_Southeast"""
65,4,"""NDC_USA""","""NDC_West"""
66,4,"""NDC_USA""","""NDC_Southwest"""
67,4,"""NDC_USA""","""NDC_Southeast"""
68,4,"""NDC_USA""","""NDC_Northeast"""
69,4,"""NDC_USA""","""NDC_Midwest"""
70,4,"""CEN_USA""","""CEN_West"""
71,4,"""CEN_USA""","""CEN_South"""
72,4,"""CEN_USA""","""CEN_Midwest"""
73,4,"""CEN_USA""","""CEN_Northeast"""
74,4,"""NDC_Northeast""","""CEN_Northeast"""
75,4,"""NDC_USA""","""CEN_West"""
76,4,"""NDC_USA""","""CEN_South"""
77,4,"""NDC_USA""","""CEN_Midwest"""
78,4,"""NDC_USA""","""CEN_Northeast"""
79,4,"""CEN_USA""","""NDC_Southeast"""
80,4,"""CEN_USA""","""NDC_West"""
81,4,"""CEN_USA""","""NDC_Midwest"""
82,4,"""CEN_USA""","""NDC_Northeast"""
83,4,"""CEN_USA""","""NDC_Southwest"""
