,pw,x1,x2
0,1,"""CEN_Northeast""","""NDC_Northeast"""
1,1,"""CEN_Northeast""","""CEN_USA"""
2,1,"""CEN_Midwest""","""CEN_USA"""
3,1,"""CEN_South""","""CEN_USA"""
4,1,"""CEN_West""","""CEN_USA"""
5,1,"""NDC_Midwest""","""NDC_USA"""
6,1,"""NDC_Northeast""","""NDC_USA"""
7,1,"""NDC_Southeast""","""NDC_USA"""
8,1,"""NDC_Southwest""","""NDC_USA"""
9,1,"""NDC_West""","""NDC_USA"""
10,1,"""NDC_Southeast""","""CEN_South"""
11,1,"""NDC_West""","""CEN_West"""
12,1,"""CEN_Northeast""","""NDC_USA"""
13,1,"""CEN_Midwest""","""NDC_USA"""
14,1,"""CEN_South""","""NDC_USA"""
15,1,"""CEN_West""","""NDC_USA"""
16,1,"""NDC_West""","""CEN_USA"""
17,1,"""NDC_Southeast""","""CEN_USA"""
18,1,"""NDC_Southwest""","""CEN_USA"""
19,1,"""NDC_Northeast""","""CEN_USA"""
20,1,"""NDC_Midwest""","""CEN_USA"""
21,2,"""CEN_Northeast""","""NDC_Northeast"""
22,2,"""CEN_Northeast""","""CEN_USA"""
23,2,"""CEN_Midwest""","""CEN_USA"""
24,2,"""CEN_South""","""CEN_USA"""
25,2,"""CEN_West""","""CEN_USA"""
26,2,"""NDC_Midwest""","""NDC_USA"""
27,2,"""NDC_Northeast""","""NDC_USA"""
28,2,"""NDC_Southeast""","""NDC_USA"""
29,2,"""NDC_Southwest""","""NDC_USA"""
30,2,"""NDC_West""","""NDC_USA"""
31,2,"""NDC_Southeast""","""CEN_South"""
32,2,"""NDC_West""","""CEN_West"""
33,2,"""CEN_Northeast""","""NDC_USA"""
34,2,"""CEN_Midwest""","""NDC_USA"""
35,2,"""CEN_South""","""NDC_USA"""
36,2,"""CEN_West""","""NDC_USA"""
37,2,"""NDC_West""","""CEN_USA"""
38,2,"""NDC_Southeast""","""CEN_USA"""
39,2,"""NDC_Southwest""","""CEN_USA"""
40,2,"""NDC_Northeast""","""CEN_USA"""
41,2,"""NDC_Midwest""","""CEN_USA"""
42,3,"""CEN_Northeast""","""NDC_Northeast"""
43,3,"""CEN_Northeast""","""CEN_USA"""
44,3,"""CEN_Midwest""","""CEN_USA"""
45,3,"""CEN_South""","""CEN_USA"""
46,3,"""CEN_West""","""CEN_USA"""
47,3,"""NDC_Midwest""","""NDC_USA"""
48,3,"""NDC_Northeast""","""NDC_USA"""
49,3,"""NDC_Southeast""","""NDC_USA"""
50,3,"""NDC_Southwest""","""NDC_USA"""
51,3,"""NDC_West""","""NDC_USA"""
52,3,"""NDC_Southeast""","""CEN_South"""
53,3,"""NDC_West""","""CEN_West"""
54,3,"""CEN_Northeast""","""NDC_USA"""
55,3,"""CEN_Midwest""","""NDC_USA"""
56,3,"""CEN_South""","""NDC_USA"""
57,3,"""CEN_West""","""NDC_USA"""
58,3,"""NDC_West""","""CEN_USA"""
59,3,"""NDC_Southeast""","""CEN_USA"""
60,3,"""NDC_Southwest""","""CEN_USA"""
61,3,"""NDC_Northeast""","""CEN_USA"""
62,3,"""NDC_Midwest""","""CEN_USA"""
63,4,"""CEN_Northeast""","""NDC_Northeast"""
64,4,"""CEN_Northeast""","""CEN_USA"""
65,4,"""CEN_Midwest""","""CEN_USA"""
66,4,"""CEN_South""","""CEN_USA"""
67,4,"""CEN_West""","""CEN_USA"""
68,4,"""NDC_Midwest""","""NDC_USA"""
69,4,"""NDC_Northeast""","""NDC_USA"""
70,4,"""NDC_Southeast""","""NDC_USA"""
71,4,"""NDC_Southwest""","""NDC_USA"""
72,4,"""NDC_West""","""NDC_USA"""
73,4,"""NDC_Southeast""","""CEN_South"""
74,4,"""NDC_West""","""CEN_West"""
75,4,"""CEN_Northeast""","""NDC_USA"""
76,4,"""CEN_Midwest""","""NDC_USA"""
77,4,"""CEN_South""","""NDC_USA"""
78,4,"""CEN_West""","""NDC_USA"""
79,4,"""NDC_West""","""CEN_USA"""
80,4,"""NDC_Southeast""","""CEN_USA"""
81,4,"""NDC_Southwest""","""CEN_USA"""
82,4,"""NDC_Northeast""","""CEN_USA"""
83,4,"""NDC_Midwest""","""CEN_USA"""
