,pw,x1,x2
0,1,"""1_B""","""2_D"""
1,1,"""1_B""","""2_F"""
2,1,"""1_B""","""2_G"""
3,1,"""1_C""","""2_B"""
4,1,"""1_C""","""2_D"""
5,1,"""1_D""","""2_B"""
6,1,"""1_D""","""2_F"""
7,1,"""1_D""","""2_G"""
8,1,"""1_E""","""2_B"""
9,1,"""1_E""","""2_D"""
10,1,"""1_C""","""2_G"""
11,1,"""1_E""","""2_F"""
12,2,"""1_B""","""2_D"""
13,2,"""1_B""","""2_F"""
14,2,"""1_B""","""2_G"""
15,2,"""1_C""","""2_B"""
16,2,"""1_C""","""2_D"""
17,2,"""1_D""","""2_B"""
18,2,"""1_D""","""2_F"""
19,2,"""1_D""","""2_G"""
20,2,"""1_E""","""2_B"""
21,2,"""1_E""","""2_D"""
22,2,"""1_C""","""2_G"""
23,3,"""1_B""","""2_D"""
24,3,"""1_B""","""2_F"""
25,3,"""1_B""","""2_G"""
26,3,"""1_C""","""2_B"""
27,3,"""1_C""","""2_D"""
28,3,"""1_D""","""2_B"""
29,3,"""1_D""","""2_F"""
30,3,"""1_D""","""2_G"""
31,3,"""1_E""","""2_B"""
32,3,"""1_E""","""2_D"""
33,3,"""1_C""","""2_G"""
34,4,"""1_B""","""2_D"""
35,4,"""1_B""","""2_F"""
36,4,"""1_B""","""2_G"""
37,4,"""1_C""","""2_B"""
38,4,"""1_C""","""2_D"""
39,4,"""1_D""","""2_B"""
40,4,"""1_D""","""2_F"""
41,4,"""1_D""","""2_G"""
42,4,"""1_E""","""2_B"""
43,4,"""1_E""","""2_D"""
44,5,"""1_B""","""2_D"""
45,5,"""1_B""","""2_F"""
46,5,"""1_B""","""2_G"""
47,5,"""1_C""","""2_B"""
48,5,"""1_C""","""2_D"""
49,5,"""1_D""","""2_B"""
50,5,"""1_D""","""2_F"""
51,5,"""1_D""","""2_G"""
52,5,"""1_E""","""2_B"""
53,5,"""1_E""","""2_D"""
54,6,"""1_B""","""2_D"""
55,6,"""1_B""","""2_F"""
56,6,"""1_B""","""2_G"""
57,6,"""1_C""","""2_B"""
58,6,"""1_C""","""2_D"""
59,6,"""1_D""","""2_B"""
60,6,"""1_D""","""2_F"""
61,6,"""1_D""","""2_G"""
62,6,"""1_E""","""2_B"""
63,6,"""1_E""","""2_D"""
64,7,"""1_B""","""2_D"""
65,7,"""1_B""","""2_F"""
66,7,"""1_B""","""2_G"""
67,7,"""1_C""","""2_B"""
68,7,"""1_C""","""2_D"""
69,7,"""1_D""","""2_B"""
70,7,"""1_D""","""2_F"""
71,7,"""1_D""","""2_G"""
72,7,"""1_E""","""2_B"""
73,7,"""1_E""","""2_D"""
