,pw,x1,x2
0,1,"""1_C""","""1_B"""
1,1,"""1_D""","""1_B"""
2,1,"""1_E""","""1_B"""
3,1,"""1_B""","""1_C"""
4,1,"""1_D""","""1_C"""
5,1,"""1_E""","""1_C"""
6,1,"""1_B""","""1_D"""
7,1,"""1_C""","""1_D"""
8,1,"""1_E""","""1_D"""
9,1,"""1_B""","""1_E"""
10,1,"""1_C""","""1_E"""
11,1,"""1_D""","""1_E"""
12,1,"""2_D""","""2_B"""
13,1,"""2_F""","""2_B"""
14,1,"""2_G""","""2_B"""
15,1,"""2_B""","""2_D"""
16,1,"""2_F""","""2_D"""
17,1,"""2_G""","""2_D"""
18,1,"""2_B""","""2_F"""
19,1,"""2_D""","""2_F"""
20,1,"""2_G""","""2_F"""
21,1,"""2_B""","""2_G"""
22,1,"""2_D""","""2_G"""
23,1,"""2_F""","""2_G"""
24,1,"""1_C""","""2_D"""
25,1,"""1_C""","""2_B"""
26,1,"""1_B""","""2_G"""
27,1,"""1_D""","""2_G"""
28,1,"""1_B""","""2_D"""
29,1,"""1_E""","""2_D"""
30,1,"""1_D""","""2_B"""
31,1,"""1_E""","""2_B"""
32,1,"""1_D""","""2_F"""
33,1,"""1_B""","""2_F"""
34,1,"""2_F""","""1_B"""
35,1,"""2_F""","""1_D"""
36,1,"""2_B""","""1_E"""
37,1,"""2_B""","""1_D"""
38,1,"""2_D""","""1_E"""
39,1,"""2_D""","""1_B"""
40,1,"""2_G""","""1_D"""
41,1,"""2_G""","""1_B"""
42,1,"""2_B""","""1_C"""
43,1,"""2_D""","""1_C"""
44,1,"""1_C""","""2_G"""
45,1,"""1_E""","""2_F"""
46,1,"""2_F""","""1_E"""
47,1,"""2_G""","""1_C"""
48,2,"""1_C""","""1_B"""
49,2,"""1_D""","""1_B"""
50,2,"""1_E""","""1_B"""
51,2,"""1_B""","""1_C"""
52,2,"""1_D""","""1_C"""
53,2,"""1_E""","""1_C"""
54,2,"""1_B""","""1_D"""
55,2,"""1_C""","""1_D"""
56,2,"""1_E""","""1_D"""
57,2,"""1_B""","""1_E"""
58,2,"""1_C""","""1_E"""
59,2,"""1_D""","""1_E"""
60,2,"""2_D""","""2_B"""
61,2,"""2_F""","""2_B"""
62,2,"""2_G""","""2_B"""
63,2,"""2_B""","""2_D"""
64,2,"""2_F""","""2_D"""
65,2,"""2_G""","""2_D"""
66,2,"""2_B""","""2_F"""
67,2,"""2_D""","""2_F"""
68,2,"""2_G""","""2_F"""
69,2,"""2_B""","""2_G"""
70,2,"""2_D""","""2_G"""
71,2,"""2_F""","""2_G"""
72,2,"""1_C""","""2_D"""
73,2,"""1_C""","""2_B"""
74,2,"""1_B""","""2_G"""
75,2,"""1_D""","""2_G"""
76,2,"""1_B""","""2_D"""
77,2,"""1_E""","""2_D"""
78,2,"""1_D""","""2_B"""
79,2,"""1_E""","""2_B"""
80,2,"""1_D""","""2_F"""
81,2,"""1_B""","""2_F"""
82,2,"""2_F""","""1_B"""
83,2,"""2_F""","""1_D"""
84,2,"""2_B""","""1_E"""
85,2,"""2_B""","""1_D"""
86,2,"""2_D""","""1_E"""
87,2,"""2_D""","""1_B"""
