,pw,x1,x2
0,3,"""2_G""","""1_E"""
1,3,"""1_E""","""2_G"""
2,4,"""2_G""","""1_E"""
3,4,"""1_E""","""2_G"""
4,5,"""2_G""","""1_E"""
5,5,"""1_E""","""2_G"""
6,5,"""1_E""","""2_F"""
7,5,"""2_F""","""1_E"""
8,6,"""2_G""","""1_E"""
9,6,"""1_E""","""2_G"""
10,6,"""1_E""","""2_F"""
11,6,"""2_F""","""1_E"""
12,7,"""2_F""","""1_C"""
13,7,"""1_C""","""2_F"""
14,8,"""2_F""","""1_C"""
15,8,"""1_C""","""2_F"""
16,9,"""2_F""","""1_C"""
17,9,"""1_C""","""2_F"""
18,9,"""2_G""","""1_E"""
19,9,"""1_E""","""2_G"""
20,10,"""2_F""","""1_C"""
21,10,"""1_C""","""2_F"""
22,10,"""2_G""","""1_E"""
23,10,"""1_E""","""2_G"""
24,11,"""2_F""","""1_C"""
25,11,"""1_C""","""2_F"""
26,11,"""2_G""","""1_E"""
27,11,"""1_E""","""2_G"""
28,11,"""1_C""","""2_G"""
29,11,"""2_G""","""1_C"""
30,12,"""2_F""","""1_C"""
31,12,"""1_C""","""2_F"""
32,12,"""2_G""","""1_E"""
33,12,"""1_E""","""2_G"""
34,12,"""1_C""","""2_G"""
35,12,"""2_G""","""1_C"""
36,13,"""2_F""","""1_C"""
37,13,"""1_C""","""2_F"""
38,13,"""2_G""","""1_E"""
39,13,"""1_E""","""2_G"""
40,13,"""1_E""","""2_F"""
41,13,"""2_F""","""1_E"""
42,14,"""2_F""","""1_C"""
43,14,"""1_C""","""2_F"""
44,14,"""2_G""","""1_E"""
45,14,"""1_E""","""2_G"""
46,14,"""1_E""","""2_F"""
47,14,"""2_F""","""1_E"""
48,15,"""2_F""","""1_C"""
49,15,"""1_C""","""2_F"""
50,15,"""2_G""","""1_E"""
51,15,"""1_E""","""2_G"""
52,15,"""1_E""","""2_F"""
53,15,"""1_C""","""2_G"""
54,15,"""2_F""","""1_E"""
55,15,"""2_G""","""1_C"""
56,16,"""2_F""","""1_C"""
57,16,"""1_C""","""2_F"""
58,16,"""2_G""","""1_E"""
59,16,"""1_E""","""2_G"""
60,16,"""1_E""","""2_F"""
61,16,"""1_C""","""2_G"""
62,16,"""2_F""","""1_E"""
63,16,"""2_G""","""1_C"""
64,17,"""2_G""","""1_E"""
65,17,"""1_E""","""2_G"""
66,17,"""2_G""","""1_A"""
67,17,"""1_A""","""2_G"""
68,18,"""2_G""","""1_E"""
69,18,"""1_E""","""2_G"""
70,18,"""2_G""","""1_A"""
71,18,"""1_E""","""2_F"""
72,18,"""1_A""","""2_G"""
73,18,"""2_F""","""1_E"""
74,19,"""2_F""","""1_C"""
75,19,"""1_C""","""2_F"""
76,19,"""2_G""","""1_E"""
77,19,"""1_E""","""2_G"""
78,19,"""2_G""","""1_A"""
79,19,"""1_A""","""2_G"""
80,20,"""2_F""","""1_C"""
81,20,"""1_C""","""2_F"""
82,20,"""2_G""","""1_E"""
83,20,"""1_E""","""2_G"""
84,20,"""2_G""","""1_A"""
85,20,"""1_C""","""2_G"""
86,20,"""1_A""","""2_G"""
87,20,"""2_G""","""1_C"""
88,21,"""2_F""","""1_C"""
89,21,"""1_C""","""2_F"""
90,21,"""2_G""","""1_E"""
91,21,"""1_E""","""2_G"""
92,21,"""2_G""","""1_A"""
93,21,"""1_E""","""2_F"""
94,21,"""1_A""","""2_G"""
95,21,"""2_F""","""1_E"""
96,22,"""2_F""","""1_C"""
97,22,"""1_C""","""2_F"""
98,22,"""2_G""","""1_E"""
99,22,"""1_E""","""2_G"""
100,22,"""2_G""","""1_A"""
101,22,"""1_E""","""2_F"""
102,22,"""1_C""","""2_G"""
103,22,"""1_A""","""2_G"""
104,22,"""2_F""","""1_E"""
105,22,"""2_G""","""1_C"""
106,23,"""2_F""","""1_A"""
107,23,"""1_A""","""2_F"""
108,24,"""2_F""","""1_C"""
109,24,"""1_C""","""2_F"""
110,24,"""2_F""","""1_A"""
111,24,"""1_A""","""2_F"""
112,25,"""2_G""","""1_E"""
113,25,"""1_E""","""2_G"""
114,25,"""2_F""","""1_A"""
115,25,"""1_A""","""2_F"""
116,26,"""2_G""","""1_E"""
117,26,"""1_E""","""2_G"""
118,26,"""2_F""","""1_A"""
119,26,"""1_E""","""2_F"""
120,26,"""1_A""","""2_F"""
121,26,"""2_F""","""1_E"""
122,27,"""2_F""","""1_C"""
123,27,"""1_C""","""2_F"""
124,27,"""2_G""","""1_E"""
125,27,"""1_E""","""2_G"""
126,27,"""2_F""","""1_A"""
127,27,"""1_A""","""2_F"""
128,28,"""2_F""","""1_C"""
129,28,"""1_C""","""2_F"""
130,28,"""2_G""","""1_E"""
131,28,"""1_E""","""2_G"""
132,28,"""2_F""","""1_A"""
133,28,"""1_A""","""2_F"""
134,28,"""1_C""","""2_G"""
135,28,"""2_G""","""1_C"""
136,29,"""2_F""","""1_C"""
137,29,"""1_C""","""2_F"""
138,29,"""2_G""","""1_E"""
139,29,"""1_E""","""2_G"""
140,29,"""2_F""","""1_A"""
141,29,"""1_E""","""2_F"""
142,29,"""1_A""","""2_F"""
143,29,"""2_F""","""1_E"""
144,30,"""2_F""","""1_C"""
145,30,"""1_C""","""2_F"""
146,30,"""2_G""","""1_E"""
147,30,"""1_E""","""2_G"""
148,30,"""2_F""","""1_A"""
149,30,"""1_E""","""2_F"""
150,30,"""1_A""","""2_F"""
151,30,"""1_C""","""2_G"""
152,30,"""2_F""","""1_E"""
153,30,"""2_G""","""1_C"""
154,31,"""2_G""","""1_E"""
155,31,"""1_E""","""2_G"""
156,31,"""2_F""","""1_A"""
157,31,"""2_G""","""1_A"""
158,31,"""1_A""","""2_F"""
159,31,"""1_A""","""2_G"""
160,32,"""2_G""","""1_E"""
161,32,"""1_E""","""2_G"""
162,32,"""2_F""","""1_A"""
163,32,"""2_G""","""1_A"""
164,32,"""1_E""","""2_F"""
165,32,"""1_A""","""2_F"""
166,32,"""1_A""","""2_G"""
167,32,"""2_F""","""1_E"""
168,33,"""2_F""","""1_C"""
169,33,"""1_C""","""2_F"""
170,33,"""2_G""","""1_E"""
171,33,"""1_E""","""2_G"""
172,33,"""2_F""","""1_A"""
173,33,"""2_G""","""1_A"""
174,33,"""1_A""","""2_F"""
175,33,"""1_A""","""2_G"""
176,34,"""2_F""","""1_C"""
177,34,"""1_C""","""2_F"""
178,34,"""2_G""","""1_E"""
179,34,"""1_E""","""2_G"""
180,34,"""2_F""","""1_A"""
181,34,"""2_G""","""1_A"""
182,34,"""1_A""","""2_F"""
183,34,"""1_C""","""2_G"""
184,34,"""1_A""","""2_G"""
185,34,"""2_G""","""1_C"""
186,35,"""2_F""","""1_C"""
187,35,"""1_C""","""2_F"""
188,35,"""2_G""","""1_E"""
189,35,"""1_E""","""2_G"""
190,35,"""2_F""","""1_A"""
191,35,"""2_G""","""1_A"""
192,35,"""1_E""","""2_F"""
193,35,"""1_A""","""2_F"""
194,35,"""1_A""","""2_G"""
195,35,"""2_F""","""1_E"""
196,36,"""2_F""","""1_C"""
197,36,"""1_C""","""2_F"""
198,36,"""2_G""","""1_E"""
199,36,"""1_E""","""2_G"""
200,36,"""2_F""","""1_A"""
201,36,"""2_G""","""1_A"""
202,36,"""1_E""","""2_F"""
203,36,"""1_A""","""2_F"""
204,36,"""1_C""","""2_G"""
205,36,"""1_A""","""2_G"""
206,36,"""2_F""","""1_E"""
207,36,"""2_G""","""1_C"""
