,pw,x1,x2
0,1,"""1_B""","""1_A"""
1,1,"""1_C""","""1_A"""
2,1,"""1_D""","""1_A"""
3,1,"""1_E""","""1_A"""
4,1,"""2_B""","""2_A"""
5,1,"""2_D""","""2_A"""
6,1,"""2_F""","""2_A"""
7,1,"""2_G""","""2_A"""
8,1,"""1_B""","""2_A"""
9,1,"""1_D""","""2_A"""
10,1,"""2_D""","""1_A"""
11,1,"""2_B""","""1_A"""
12,1,"""1_C""","""2_A"""
13,1,"""1_E""","""2_A"""
14,1,"""1_C""","""2_F"""
15,1,"""2_F""","""1_A"""
16,1,"""2_G""","""1_A"""
17,2,"""1_B""","""1_A"""
18,2,"""1_C""","""1_A"""
19,2,"""1_D""","""1_A"""
20,2,"""1_E""","""1_A"""
21,2,"""2_B""","""2_A"""
22,2,"""2_D""","""2_A"""
23,2,"""2_F""","""2_A"""
24,2,"""2_G""","""2_A"""
25,2,"""1_B""","""2_A"""
26,2,"""1_D""","""2_A"""
27,2,"""2_D""","""1_A"""
28,2,"""2_B""","""1_A"""
29,2,"""1_A""","""2_A"""
30,2,"""1_C""","""2_A"""
31,2,"""1_E""","""2_A"""
32,2,"""1_C""","""2_F"""
33,2,"""2_F""","""1_A"""
34,2,"""2_G""","""1_A"""
35,3,"""1_B""","""1_A"""
36,3,"""1_C""","""1_A"""
37,3,"""1_D""","""1_A"""
38,3,"""1_E""","""1_A"""
39,3,"""2_B""","""2_A"""
40,3,"""2_D""","""2_A"""
41,3,"""2_F""","""2_A"""
42,3,"""2_G""","""2_A"""
43,3,"""1_B""","""2_A"""
44,3,"""1_D""","""2_A"""
45,3,"""2_D""","""1_A"""
46,3,"""2_B""","""1_A"""
47,3,"""1_C""","""2_A"""
48,3,"""1_E""","""2_A"""
49,3,"""1_C""","""2_F"""
50,3,"""2_F""","""1_A"""
51,3,"""2_G""","""1_A"""
52,4,"""1_B""","""1_A"""
53,4,"""1_C""","""1_A"""
54,4,"""1_D""","""1_A"""
55,4,"""1_E""","""1_A"""
56,4,"""2_B""","""2_A"""
57,4,"""2_D""","""2_A"""
58,4,"""2_F""","""2_A"""
59,4,"""2_G""","""2_A"""
60,4,"""1_B""","""2_A"""
61,4,"""1_D""","""2_A"""
62,4,"""2_D""","""1_A"""
63,4,"""2_B""","""1_A"""
64,4,"""1_A""","""2_A"""
65,4,"""1_C""","""2_A"""
66,4,"""1_E""","""2_A"""
67,4,"""1_C""","""2_F"""
68,4,"""2_F""","""1_A"""
69,4,"""2_G""","""1_A"""
70,5,"""1_B""","""1_A"""
71,5,"""1_C""","""1_A"""
72,5,"""1_D""","""1_A"""
73,5,"""1_E""","""1_A"""
74,5,"""2_B""","""2_A"""
75,5,"""2_D""","""2_A"""
76,5,"""2_F""","""2_A"""
77,5,"""2_G""","""2_A"""
78,5,"""1_B""","""2_A"""
79,5,"""1_D""","""2_A"""
80,5,"""2_D""","""1_A"""
81,5,"""2_B""","""1_A"""
82,5,"""1_C""","""2_A"""
83,5,"""1_E""","""2_A"""
84,5,"""1_C""","""2_F"""
85,5,"""2_F""","""1_A"""
86,5,"""2_G""","""1_A"""
87,6,"""1_B""","""1_A"""
88,6,"""1_C""","""1_A"""
89,6,"""1_D""","""1_A"""
90,6,"""1_E""","""1_A"""
91,6,"""2_B""","""2_A"""
92,6,"""2_D""","""2_A"""
93,6,"""2_F""","""2_A"""
94,6,"""2_G""","""2_A"""
95,6,"""1_B""","""2_A"""
96,6,"""1_D""","""2_A"""
97,6,"""2_D""","""1_A"""
98,6,"""2_B""","""1_A"""
