,pw,x1,x2
0,1,"""CEN_USA""","""CEN_Northeast"""
1,1,"""CEN_USA""","""CEN_Midwest"""
2,1,"""CEN_USA""","""CEN_South"""
3,1,"""CEN_USA""","""CEN_West"""
4,1,"""CEN_Northeast""","""CEN_CT"""
5,1,"""CEN_Northeast""","""CEN_MA"""
6,1,"""CEN_Northeast""","""CEN_ME"""
7,1,"""CEN_Northeast""","""CEN_NH"""
8,1,"""CEN_Northeast""","""CEN_NJ"""
9,1,"""CEN_Northeast""","""CEN_NY"""
10,1,"""CEN_Northeast""","""CEN_PA"""
11,1,"""CEN_Northeast""","""CEN_RI"""
12,1,"""CEN_Northeast""","""CEN_VT"""
13,1,"""CEN_Midwest""","""CEN_IL"""
14,1,"""CEN_Midwest""","""CEN_IN"""
15,1,"""CEN_Midwest""","""CEN_IA"""
16,1,"""CEN_Midwest""","""CEN_KS"""
17,1,"""CEN_Midwest""","""CEN_MI"""
18,1,"""CEN_Midwest""","""CEN_MN"""
19,1,"""CEN_Midwest""","""CEN_MO"""
20,1,"""CEN_Midwest""","""CEN_NE"""
21,1,"""CEN_Midwest""","""CEN_ND"""
22,1,"""CEN_Midwest""","""CEN_OH"""
23,1,"""CEN_Midwest""","""CEN_SD"""
24,1,"""CEN_Midwest""","""CEN_WI"""
25,1,"""CEN_South""","""CEN_AL"""
26,1,"""CEN_South""","""CEN_AR"""
27,1,"""CEN_South""","""CEN_DE"""
28,1,"""CEN_South""","""CEN_DC"""
29,1,"""CEN_South""","""CEN_FL"""
30,1,"""CEN_South""","""CEN_GA"""
31,1,"""CEN_South""","""CEN_KY"""
32,1,"""CEN_South""","""CEN_LA"""
33,1,"""CEN_South""","""CEN_MD"""
34,1,"""CEN_South""","""CEN_MS"""
35,1,"""CEN_South""","""CEN_NC"""
36,1,"""CEN_South""","""CEN_OK"""
37,1,"""CEN_South""","""CEN_SC"""
38,1,"""CEN_South""","""CEN_TN"""
39,1,"""CEN_South""","""CEN_TX"""
40,1,"""CEN_South""","""CEN_VA"""
41,1,"""CEN_South""","""CEN_WV"""
42,1,"""CEN_West""","""CEN_AZ"""
43,1,"""CEN_West""","""CEN_CA"""
44,1,"""CEN_West""","""CEN_CO"""
45,1,"""CEN_West""","""CEN_ID"""
46,1,"""CEN_West""","""CEN_MT"""
47,1,"""CEN_West""","""CEN_NV"""
48,1,"""CEN_West""","""CEN_NM"""
49,1,"""CEN_West""","""CEN_OR"""
50,1,"""CEN_West""","""CEN_UT"""
51,1,"""CEN_West""","""CEN_WA"""
52,1,"""CEN_West""","""CEN_WY"""
53,1,"""NDC_USA""","""NDC_Midwest"""
54,1,"""NDC_USA""","""NDC_Northeast"""
55,1,"""NDC_USA""","""NDC_Southeast"""
56,1,"""NDC_USA""","""NDC_Southwest"""
57,1,"""NDC_USA""","""NDC_West"""
58,1,"""NDC_Midwest""","""NDC_IA"""
59,1,"""NDC_Midwest""","""NDC_IL"""
60,1,"""NDC_Midwest""","""NDC_IN"""
61,1,"""NDC_Midwest""","""NDC_KS"""
62,1,"""NDC_Midwest""","""NDC_MI"""
63,1,"""NDC_Midwest""","""NDC_MN"""
64,1,"""NDC_Midwest""","""NDC_MO"""
65,1,"""NDC_Midwest""","""NDC_ND"""
66,1,"""NDC_Midwest""","""NDC_NE"""
67,1,"""NDC_Midwest""","""NDC_OH"""
68,1,"""NDC_Midwest""","""NDC_SD"""
69,1,"""NDC_Midwest""","""NDC_WI"""
70,1,"""NDC_Northeast""","""NDC_CT"""
71,1,"""NDC_Northeast""","""NDC_DC"""
72,1,"""NDC_Northeast""","""NDC_DE"""
73,1,"""NDC_Northeast""","""NDC_MD"""
74,1,"""NDC_Northeast""","""NDC_MA"""
75,1,"""NDC_Northeast""","""NDC_ME"""
76,1,"""NDC_Northeast""","""NDC_NH"""
77,1,"""NDC_Northeast""","""NDC_NJ"""
78,1,"""NDC_Northeast""","""NDC_NY"""
79,1,"""NDC_Northeast""","""NDC_PA"""
80,1,"""NDC_Northeast""","""NDC_RI"""
81,1,"""NDC_Northeast""","""NDC_VT"""
82,1,"""NDC_Southeast""","""NDC_AL"""
83,1,"""NDC_Southeast""","""NDC_AR"""
84,1,"""NDC_Southeast""","""NDC_FL"""
85,1,"""NDC_Southeast""","""NDC_GA"""
86,1,"""NDC_Southeast""","""NDC_KY"""
87,1,"""NDC_Southeast""","""NDC_LA"""
88,1,"""NDC_Southeast""","""NDC_MS"""
89,1,"""NDC_Southeast""","""NDC_NC"""
90,1,"""NDC_Southeast""","""NDC_SC"""
91,1,"""NDC_Southeast""","""NDC_TN"""
92,1,"""NDC_Southeast""","""NDC_VA"""
93,1,"""NDC_Southeast""","""NDC_WV"""
94,1,"""NDC_Southwest""","""NDC_AZ"""
95,1,"""NDC_Southwest""","""NDC_NM"""
96,1,"""NDC_Southwest""","""NDC_OK"""
97,1,"""NDC_Southwest""","""NDC_TX"""
98,1,"""NDC_West""","""NDC_CA"""
99,1,"""NDC_West""","""NDC_CO"""
100,1,"""NDC_West""","""NDC_ID"""
101,1,"""NDC_West""","""NDC_MT"""
102,1,"""NDC_West""","""NDC_NV"""
103,1,"""NDC_West""","""NDC_OR"""
104,1,"""NDC_West""","""NDC_WA"""
105,1,"""NDC_West""","""NDC_WY"""
106,1,"""NDC_West""","""NDC_UT"""
